PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,AREA_TYPE,NAICS,NAICS_TITLE,OWN_CODE,PCT_TOTAL,I_GROUP
CA,41860,"San Francisco-Oakland-Hayward, CA",Nov-71,"Transportation, Storage, and Distribution Managers",detailed,3260,3.5,1.456,1.42,61.06,127000,1.2,34.84,44.58,57.12,73.03,93.88,72480,92730,118810,151900,195260,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",Nov-11,Compensation and Benefits Managers,detailed,440,8,0.197,1.81,79.97,166330,2.4,46.01,58.03,76.66,94.73,#,95690,120700,159450,197030,#,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",Nov-21,Human Resources Managers,detailed,5190,3,2.315,1.96,84.33,175410,1.4,46.01,60.9,78.52,#,#,95700,126670,163320,#,#,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",Nov-31,Training and Development Managers,detailed,1240,5.2,0.551,2.17,80.01,166410,2.2,45.86,57.83,75.26,97.87,#,95400,120290,156540,203560,#,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",Nov-13,"Farmers, Ranchers, and Other Agricultural Managers",detailed,50,25.9,0.024,0.64,48.19,100220,6,17.74,25.33,40.43,56.24,82.77,36900,52690,84100,116990,172150,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",Nov-21,Construction Managers,detailed,5770,7.2,2.575,1.27,67.26,139900,3.6,36.49,47.91,60.89,78.33,#,75900,99640,126660,162930,#,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",Nov-31,"Education and Childcare Administrators, Preschool and Daycare",detailed,1680,17.7,0.751,1.88,30.9,64270,6.7,22.23,26.28,28.78,29.32,42.32,46230,54660,59850,60980,88030,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",Nov-32,"Education Administrators, Kindergarten through Secondary",detailed,2780,3.6,1.241,0.64,*,131500,2.5,*,*,*,*,*,78420,100590,128300,156810,194980,TRUE,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",Nov-33,"Education Administrators, Postsecondary",detailed,1750,2.7,0.779,0.7,68.15,141740,0.5,36.49,46.12,60.13,80.51,98.96,75910,95930,125080,167450,205840,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",Nov-39,"Education Administrators, All Other",detailed,2250,4.7,1.003,2.83,52.81,109850,1.7,28.95,36.01,47.81,62.65,80.51,60210,74900,99450,130310,167450,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",Nov-41,Architectural and Engineering Managers,detailed,5930,5.6,2.643,1.99,99.06,206050,1.9,62.19,78.22,95.89,#,#,129360,162690,199460,#,#,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",Nov-51,Food Service Managers,detailed,4510,12.6,2.013,1.35,34,70730,3.9,21.53,28.34,33.44,37.13,47.35,44790,58940,69560,77240,98500,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",Nov-72,"Entertainment and Recreation Managers, Except Gambling",detailed,680,18.3,0.305,2.42,36.89,76730,8.6,17.63,22.51,31.28,44.16,61.8,36660,46820,65070,91850,128540,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",Nov-81,Lodging Managers,detailed,460,9.7,0.204,0.8,41,85280,6.9,17.64,28.55,35.55,47.34,59.47,36700,59380,73950,98460,123700,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",Nov-11,Medical and Health Services Managers,detailed,7970,3,3.556,1.15,72.24,150250,1.7,35.77,45.92,73.07,97.48,#,74400,95510,151980,202760,#,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",Nov-21,Natural Sciences Managers,detailed,4100,6.3,1.829,3.45,104.21,216750,2.1,57.41,77.87,99.96,#,#,119410,161960,207920,#,#,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",Nov-31,Postmasters and Mail Superintendents,detailed,70,0,0.03,0.34,42.82,89070,0,32.85,38.67,42.4,46.97,49.7,68330,80420,88180,97690,103380,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",Nov-41,"Property, Real Estate, and Community Association Managers",detailed,7240,9.5,3.227,1.94,39.48,82120,5.4,17.85,20.58,33.25,45.42,74.26,37130,42810,69160,94480,154450,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",Nov-51,Social and Community Service Managers,detailed,3660,3.2,1.633,1.47,43.97,91450,1.7,27.21,31.46,37.13,54.03,69.18,56590,65440,77240,112380,143890,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",Nov-61,Emergency Management Directors,detailed,70,6.1,0.033,0.45,68.27,142000,2.8,47.58,57.42,62.46,78.91,91.6,98970,119430,129930,164130,190520,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",Nov-71,Funeral Home Managers,detailed,80,15.2,0.033,0.37,44.02,91560,6.4,27.73,29.06,44.12,46.26,60.24,57680,60450,91770,96220,125290,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",Nov-79,"Personal Service Managers, All Other",detailed,210,38.5,0.094,1.8,31.88,66320,16.8,16.73,16.74,27.03,40.09,56.01,34800,34810,56220,83400,116500,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",Nov-99,"Managers, All Other",detailed,18670,2.6,8.328,2.36,88.21,183480,1.2,45.92,61.26,80.51,#,#,95510,127410,167450,#,#,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",13-0000,Business and Financial Operations Occupations,major,192410,0.9,85.815,1.34,51.65,107430,0.7,27.13,35.43,46.89,61.73,80.86,56430,73700,97540,128390,168200,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,240,21.9,0.105,1.19,55.72,115890,12.7,28.26,42.75,46.86,46.86,#,58790,88910,97480,97480,#,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",13-1020,Buyers and Purchasing Agents,detailed,6240,4.2,2.782,0.89,40.98,85250,1.3,23.94,29.82,37.85,48.02,60.49,49790,62030,78730,99870,125820,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,3560,8.6,1.59,0.81,41.78,86900,4.1,21.63,33.42,42.97,49.98,57.64,44990,69510,89380,103960,119890,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",13-1041,Compliance Officers,detailed,6850,5.5,3.054,1.29,47.82,99460,1.8,27.57,33.93,45.58,58.6,71.33,57350,70570,94800,121890,148370,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",13-1051,Cost Estimators,detailed,3580,4.1,1.597,1.08,47.38,98550,2.1,23.41,33.26,44.83,59.57,75.13,48700,69180,93240,123900,156270,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",13-1071,Human Resources Specialists,detailed,15150,3.2,6.757,1.29,45.9,95460,1.6,23.94,31.08,43.12,58.22,75.3,49790,64640,89690,121100,156630,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",13-1075,Labor Relations Specialists,detailed,1550,8.1,0.69,1.52,44.08,91680,4.5,21.69,30.82,46.23,57.54,63.83,45100,64100,96160,119670,132770,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",13-1081,Logisticians,detailed,4310,7.9,1.924,1.43,45.39,94400,2.9,27.12,35.44,45.41,57.47,62.16,56410,73700,94460,119530,129300,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",13-1082,Project Management Specialists,detailed,16730,2.9,7.462,1.41,59.82,124430,1.2,33.62,43.28,58.35,75.39,93.69,69940,90020,121370,156810,194870,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",13-1111,Management Analysts,detailed,15890,4.8,7.085,1.3,60.22,125250,3.1,30.91,39.69,55.67,74.56,95.23,64280,82560,115800,155090,198080,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",13-1121,"Meeting, Convention, and Event Planners",detailed,2100,6.8,0.937,1.34,38.36,79790,3.9,21.19,27.58,35.34,47.55,64.22,44080,57370,73500,98910,133570,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",13-1131,Fundraisers,detailed,1570,7.6,0.699,1.2,41.38,86070,3,22.42,29.82,37.25,47.39,60.52,46640,62030,77480,98560,125890,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,2120,4.4,0.946,1.52,46.56,96830,1.3,29.53,36.84,43.31,50.12,70.03,61430,76630,90090,104250,145670,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",13-1151,Training and Development Specialists,detailed,4880,5.9,2.176,0.91,43.33,90120,1.8,23.57,29.13,39.01,52.87,63.56,49020,60600,81140,109960,132200,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",13-1161,Market Research Analysts and Marketing Specialists,detailed,21310,3,9.505,1.84,52.1,108370,1.9,26.87,35.26,46.56,62.98,80.67,55890,73340,96840,131000,167780,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",13-1199,"Business Operations Specialists, All Other",detailed,28830,2.4,12.857,1.76,45.78,95230,1.3,21.75,29.53,41.88,57.9,75.72,45230,61430,87110,120430,157510,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",13-2011,Accountants and Auditors,detailed,23970,3.4,10.692,1.14,51.7,107540,1.1,30.11,37.05,47.26,60.45,78.01,62620,77060,98300,125740,162260,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",13-2020,Property Appraisers and Assessors,detailed,700,12.9,0.314,0.76,44.89,93380,4.5,27.13,36.64,41.47,49.7,62.96,56430,76220,86250,103370,130950,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",13-2031,Budget Analysts,detailed,590,12.2,0.264,0.78,47.14,98050,3.2,29.36,35.91,46.53,56.75,66.64,61070,74690,96790,118040,138610,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",13-2041,Credit Analysts,detailed,1330,6.9,0.593,1.22,56.67,117860,2,27.76,36.77,56.75,75.13,84.93,57730,76480,118050,156270,176660,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",13-2051,Financial and Investment Analysts,detailed,9730,6,4.338,2.09,59.39,123520,2.3,36.04,45.17,50.04,70.5,90.89,74970,93950,104070,146640,189040,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",13-2052,Personal Financial Advisors,detailed,7980,7.7,3.56,1.91,77.41,161010,3.7,29.39,38.12,72.39,#,#,61130,79290,150580,#,#,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",13-2053,Insurance Underwriters,detailed,1030,13.2,0.461,0.6,49.59,103150,4.3,27.69,35.75,47.18,60.2,75.13,57600,74350,98120,125220,156270,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",13-2054,Financial Risk Specialists,detailed,980,6.2,0.439,1.14,67.13,139620,2.4,36.28,47.98,63.44,81.07,#,75470,99790,131950,168620,#,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",13-2061,Financial Examiners,detailed,980,5,0.437,1.01,61.67,128280,1.3,35.39,44.72,57.38,77.76,#,73610,93020,119350,161740,#,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",13-2071,Credit Counselors,detailed,260,23.2,0.118,0.53,29.29,60920,4.5,20.45,22.94,27.31,33.11,37.6,42530,47720,56800,68870,78210,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",13-2072,Loan Officers,detailed,4770,6,2.129,0.88,48.51,100890,4.2,17.04,27.62,43.93,62.67,81.6,35450,57450,91380,130350,169740,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,420,0.2,0.185,0.5,47.52,98850,0.1,30.76,37.41,46.93,57.56,66.64,63970,77820,97620,119720,138610,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",13-2082,Tax Preparers,detailed,1320,18.6,0.587,0.99,32.08,66730,6.9,18.02,21.89,35.69,37.46,46.57,37480,45540,74230,77930,96870,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",13-2099,"Financial Specialists, All Other",detailed,3360,11.4,1.498,1.71,50.21,104450,7.6,26.72,29.88,39,60.7,93.53,55580,62160,81120,126250,194540,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",15-0000,Computer and Mathematical Occupations,major,161110,1.2,71.854,2.17,67.14,139650,0.9,34.88,47.91,63.12,80.31,#,72540,99640,131280,167050,#,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",15-1211,Computer Systems Analysts,detailed,12980,7.1,5.79,1.61,63.29,131650,1.4,37.54,47.29,61.24,78.1,93.66,78080,98370,127370,162450,194820,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",15-1212,Information Security Analysts,detailed,**,**,**,**,71.76,149250,3.5,47.5,60.5,63.75,81.34,#,98810,125840,132600,169190,#,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",15-1221,Computer and Information Research Scientists,detailed,2410,17.2,1.077,4.92,100.91,209890,5.7,61.24,77.4,85.81,#,#,127370,161000,178480,#,#,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",15-1231,Computer Network Support Specialists,detailed,2140,8.2,0.956,0.76,40.9,85060,2.7,22.79,29.6,37.41,48.17,62.64,47410,61570,77810,100190,130290,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",15-1232,Computer User Support Specialists,detailed,10600,4.9,4.729,1.02,36.98,76920,1.7,21.34,27.27,35.63,45.43,56.66,44390,56730,74100,94490,117860,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",15-1241,Computer Network Architects,detailed,3850,10.5,1.715,1.43,73.51,152900,2.6,43.9,51.68,73.6,92.38,#,91310,107480,153090,192150,#,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",15-1242,Database Administrators,detailed,1540,11.2,0.688,1.13,57.83,120280,2.6,32.93,39.03,57.96,72.6,81.96,68500,81180,120550,151000,170490,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",15-1243,Database Architects,detailed,1570,21.6,0.701,1.96,77.8,161830,9.1,30.01,56.76,76.74,#,#,62420,118060,159620,#,#,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",15-1244,Network and Computer Systems Administrators,detailed,6560,11.9,2.927,1.3,55.95,116370,2.4,30.31,44.63,58.67,63.11,77.55,63050,92830,122040,131280,161290,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",15-1251,Computer Programmers,detailed,5720,9.4,2.549,2.35,60.68,126220,4.2,29.78,47.91,57.96,73.27,92.65,61930,99640,120550,152410,192710,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",15-1252,Software Developers,detailed,64460,3.1,28.749,2.97,76.12,158320,1.1,47.74,61.31,77.85,92.09,#,99310,127530,161930,191550,#,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",15-1253,Software Quality Assurance Analysts and Testers,detailed,7920,4.5,3.533,2.62,60.89,126640,1.6,34.95,46.28,60.27,75.93,81.29,72700,96270,125360,157920,169090,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",15-1254,Web Developers,detailed,3090,8.4,1.377,2.29,53.31,110880,3.6,28.67,37.38,48.58,72.29,78.09,59640,77740,101040,150360,162430,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",15-1255,Web and Digital Interface Designers,detailed,3240,10.7,1.443,2.47,62.38,129760,3.4,29.65,47.37,61.95,77.84,91.16,61680,98530,128850,161900,189620,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",15-1299,"Computer Occupations, All Other",detailed,20340,4.8,9.073,3.45,63.44,131960,2.3,27.68,42.57,60.88,79.35,#,57570,88550,126620,165050,#,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",15-2011,Actuaries,detailed,270,22.5,0.119,0.73,62.21,129400,3.4,38.93,47.85,60.31,71.91,81.13,80960,99530,125440,149570,168750,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",15-2031,Operations Research Analysts,detailed,1540,6.9,0.685,0.98,50.29,104590,3.1,30.24,34.68,47.37,60.74,77.55,62900,72130,98530,126330,161290,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",15-2041,Statisticians,detailed,780,12.3,0.35,1.57,62.32,129620,4.9,29.93,44.79,57.96,77.42,#,62250,93160,120550,161040,#,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",15-2051,Data Scientists,detailed,5290,7.5,2.358,3.13,73.65,153180,2.2,39.03,60.03,76.59,81.29,#,81180,124860,159310,169090,#,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",15-2099,"Mathematical Science Occupations, All Other",detailed,**,**,**,**,36,74870,20,30.12,30.12,36.29,37.13,37.13,62640,62640,75490,77240,77240,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",17-0000,Architecture and Engineering Occupations,major,52180,1.8,23.27,1.35,56.13,116750,0.9,29.41,37.69,49.39,71.67,90.12,61170,78380,102730,149070,187440,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",17-1011,"Architects, Except Landscape and Naval",detailed,4100,5.3,1.828,2.56,54.7,113780,3,37.37,45.71,48,61.09,78.36,77730,95080,99840,127060,162980,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",17-1012,Landscape Architects,detailed,660,9.9,0.293,2.37,52.21,108590,3.4,29.62,36.56,48.36,60.11,#,61600,76050,100600,125030,#,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",17-1021,Cartographers and Photogrammetrists,detailed,150,12.8,0.067,0.75,52.23,108640,4.9,35.53,42.94,59.06,59.06,61.08,73890,89310,122850,122850,127050,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",17-1022,Surveyors,detailed,550,17.1,0.247,0.75,50.36,104740,3.9,29.17,38.07,47.25,61.16,68.87,60680,79180,98280,127220,143240,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",17-2011,Aerospace Engineers,detailed,680,41.5,0.303,0.75,71.87,149490,3.6,49.56,58.64,74.17,81.14,93.43,103070,121980,154260,168780,194330,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",17-2031,Bioengineers and Biomedical Engineers,detailed,710,19.7,0.317,2.6,57.27,119130,6.5,36.44,47.41,60.52,62.77,79.19,75780,98610,125880,130550,164700,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",17-2041,Chemical Engineers,detailed,180,23.9,0.08,0.47,55.66,115760,6.3,33.67,43,49.72,71.43,77.89,70030,89450,103410,148570,162000,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",17-2051,Civil Engineers,detailed,9710,8.5,4.329,2,56.04,116550,2,37.46,38.85,52.96,62.26,78.83,77920,80800,110150,129490,163960,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",17-2061,Computer Hardware Engineers,detailed,3880,6.3,1.732,3.31,89.04,185210,1.2,56.38,72.08,92.15,#,#,117260,149920,191660,#,#,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",17-2071,Electrical Engineers,detailed,4720,7.4,2.104,1.59,64.25,133640,1.3,37.68,47.94,61.58,78.22,93,78380,99710,128090,162700,193450,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",17-2072,"Electronics Engineers, Except Computer",detailed,2580,5,1.15,1.51,65.11,135430,1.4,39.94,49.39,62.16,78.06,91.87,83080,102730,129280,162370,191090,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",17-2081,Environmental Engineers,detailed,970,17.7,0.433,1.43,61.28,127470,2.5,37.88,46.97,61.36,73.99,80.78,78800,97700,127620,153890,168020,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,290,23.1,0.13,0.8,57.9,120420,2,46.97,52.25,58.4,62.25,72.59,97700,108680,121470,129480,150990,,,4,0,Cross-industry,1235,,cross-industry
