AREA,AREA_NAME,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,AREA_TYPE,NAICS,NAICS_TITLE,OWN_CODE,PCT_TOTAL,I_GROUP
41860,"San Francisco-Oakland-Hayward, CA",21-Nov,Computer and Information Systems Managers,detailed,21980,5,8.891,3.01,97.09,201960,1.3,58.68,73.48,90.9,#,#,122040,152830,189070,#,#,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",Nov-31,Financial Managers,detailed,18640,2.5,7.538,1.69,87.59,182190,1.6,41.53,57.85,79.23,#,#,86370,120320,164800,#,#,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",Nov-51,Industrial Production Managers,detailed,3040,4.7,1.231,0.97,67.75,140910,1.5,38.08,49.26,62.43,81.38,#,79200,102460,129860,169260,#,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",Nov-61,Purchasing Managers,detailed,1480,7.5,0.597,1.22,74.46,154870,1.3,45.77,56.99,70.52,85.61,#,95200,118530,146680,178060,#,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",Nov-71,"Transportation, Storage, and Distribution Managers",detailed,2870,8,1.161,1.29,59.57,123910,2.3,31.72,42.83,56.08,73.06,90.08,65970,89090,116640,151970,187370,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",11-Nov,Compensation and Benefits Managers,detailed,570,8.1,0.23,2,82.1,170770,3.4,46.03,56.91,77.88,97.6,#,95750,118370,161990,203010,#,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",21-Nov,Human Resources Managers,detailed,5040,3.8,2.039,1.94,78.76,163810,1.1,42.49,55.23,73.38,94.07,#,88370,114870,152630,195660,#,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",Nov-31,Training and Development Managers,detailed,1200,7.5,0.485,1.85,73.26,152380,2.7,39.02,55.16,70.03,86.25,#,81150,114740,145670,179390,#,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",21-Nov,Construction Managers,detailed,5370,7.4,2.171,1.09,64.85,134880,3.4,33.25,47.12,61.24,77.71,#,69160,98000,127370,161640,#,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",Nov-31,"Education and Childcare Administrators, Preschool and Daycare",detailed,1610,10.3,0.65,1.82,33.69,70080,7.1,21.83,25.65,29.63,38.33,55.09,45400,53360,61620,79730,114600,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",Nov-32,"Education Administrators, Kindergarten through Secondary",detailed,2520,4.1,1.021,0.55,*,129070,2.2,*,*,*,*,*,78690,99200,129440,156870,181680,TRUE,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",Nov-33,"Education Administrators, Postsecondary",detailed,1340,18,0.543,0.55,62.97,130980,2.7,35,44.09,60.05,79.15,95.06,72810,91710,124910,164640,197720,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",Nov-39,"Education Administrators, All Other",detailed,2100,11.4,0.851,2.8,44.31,92160,6.1,21.62,28.19,37.2,58.48,77.11,44960,58630,77370,121640,160390,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",Nov-41,Architectural and Engineering Managers,detailed,6940,17.9,2.807,2.12,89.66,186500,2.3,48.78,65.56,84.29,#,#,101460,136360,175320,#,#,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",Nov-51,Food Service Managers,detailed,6470,9,2.619,1.63,30.51,63460,2.8,17.99,21.84,28.81,37.02,45.4,37430,45420,59920,77010,94420,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",Nov-71,Gambling Managers,detailed,30,13.7,0.012,0.41,60.24,125300,7.9,40.25,46.55,55.86,68.34,90.06,83720,96830,116200,142140,187320,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",Nov-81,Lodging Managers,detailed,670,17.3,0.269,1.03,50.12,104250,5.9,30.43,34.42,44.11,59.58,82.46,63290,71590,91740,123920,171520,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",11-Nov,Medical and Health Services Managers,detailed,5560,7.2,2.251,0.84,68.63,142760,2.5,34.06,43.01,63.69,87.71,#,70850,89470,132470,182430,#,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",21-Nov,Natural Sciences Managers,detailed,**,**,**,**,100.44,208910,6.2,54.31,68.9,90.72,#,#,112970,143310,188690,#,#,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",Nov-31,Postmasters and Mail Superintendents,detailed,80,0,0.031,0.33,41.61,86540,1.8,33.86,37.24,41.06,45.73,48.03,70420,77450,85410,95130,99910,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",Nov-41,"Property, Real Estate, and Community Association Managers",detailed,5470,7.2,2.214,1.47,44.68,92930,4.4,18.06,26.88,36.81,55.41,82.85,37570,55910,76560,115260,172330,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",Nov-51,Social and Community Service Managers,detailed,**,**,**,**,35.2,73210,4.9,14.52,23.14,33.23,43.4,55.44,30200,48130,69130,90280,115320,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",Nov-61,Emergency Management Directors,detailed,150,14.2,0.062,0.91,63.67,132440,2.3,44.65,52.97,60.8,73.01,85.14,92870,110170,126460,151860,177090,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",Nov-71,Funeral Home Managers,detailed,100,32.1,0.041,0.64,45,93590,12.7,26.48,29.88,36.89,48.14,73.8,55070,62150,76740,100140,153500,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",Nov-98,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",detailed,16220,4.1,6.561,2.04,81.2,168900,1.2,41.43,55.71,75.19,97.79,#,86170,115870,156400,203410,#,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",13-0000,Business and Financial Operations Occupations,major,195700,1.8,79.163,1.42,46.64,97010,0.9,24.29,31.32,41.97,56.76,74.95,50510,65150,87290,118060,155890,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,290,27.7,0.116,1,40.03,83260,7.8,25.8,30.6,37.89,46.33,56.72,53660,63650,78810,96360,117970,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",13-1020,Buyers and Purchasing Agents,detailed,6850,5.7,2.769,0.97,38,79040,0.9,23.11,28.79,36.61,46.31,56.72,48080,59880,76150,96320,117980,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,4070,10.8,1.646,0.84,42.54,88480,2.1,25.86,32.94,42.24,50.2,59.95,53790,68510,87860,104420,124690,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",13-1032,"Insurance Appraisers, Auto Damage",detailed,580,32.9,0.233,2.49,34.92,72630,4.6,21.87,26.77,33.59,41.84,50.57,45480,55690,69870,87030,105190,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",13-1041,Compliance Officers,detailed,6220,5.7,2.515,1.16,44.69,92960,2.5,25.32,32.73,43.58,53.16,63.34,52670,68070,90650,110580,131750,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",13-1051,Cost Estimators,detailed,4020,5.8,1.626,1.14,47.58,98960,2.6,23.31,31.42,42.78,55.7,76.02,48490,65350,88980,115850,158120,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",13-1071,Human Resources Specialists,detailed,13870,4.5,5.61,1.3,43.19,89820,1.2,24.1,29.91,39.33,54.26,69.91,50130,62220,81810,112860,145420,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",13-1075,Labor Relations Specialists,detailed,1780,11.7,0.722,1.4,41.53,86370,7,26.27,30.1,37.79,53.47,62.21,54640,62600,78600,111210,129390,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",13-1081,Logisticians,detailed,3540,8.6,1.432,1.16,39.43,82010,3,20.83,29.31,38.32,48.26,60.75,43320,60960,79710,100380,126350,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",13-1111,Management Analysts,detailed,17340,5.4,7.016,1.45,54.69,113750,2.5,28.06,36.49,49.31,66.9,84.15,58360,75900,102570,139150,175040,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",13-1121,"Meeting, Convention, and Event Planners",detailed,3360,7.3,1.36,1.7,32.47,67530,2.4,19.44,24.59,29.87,37.88,51.55,40440,51150,62120,78780,107220,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",13-1131,Fundraisers,detailed,2540,11.4,1.026,1.85,37.24,77450,3.8,19.72,26.37,34.83,48.17,58.94,41010,54840,72450,100190,122600,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,2490,9.4,1.006,1.65,40.02,83230,2,25.89,30.97,37.05,46.93,61.4,53840,64430,77060,97610,127710,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",13-1151,Training and Development Specialists,detailed,5370,7.3,2.173,1.02,40.17,83550,1.6,20.35,28.06,38.14,51.32,62.8,42330,58360,79340,106740,130620,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",13-1161,Market Research Analysts and Marketing Specialists,detailed,22650,3.1,9.161,1.98,43.92,91350,1.5,20.96,30.05,41.33,56.54,72.89,43590,62510,85970,117590,151620,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",13-1198,"Project Management Specialists and Business Operations Specialists, All Other",detailed,39570,2.8,16.006,1.84,44.72,93010,1,23.43,31.11,42,55.84,70.89,48730,64710,87350,116140,147460,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",13-2011,Accountants and Auditors,detailed,25500,7.1,10.317,1.18,45,93590,1.4,26.56,32.3,40.71,52.81,71,55240,67190,84680,109850,147670,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",13-2020,Property Appraisers and Assessors,detailed,470,17.1,0.191,0.5,47.33,98450,3.1,32.12,36.82,45.43,55.88,68.11,66800,76590,94490,116230,141670,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",13-2031,Budget Analysts,detailed,830,11.6,0.335,0.96,45.1,93800,3.1,28.53,34.76,43.22,54.06,65.84,59340,72300,89900,112440,136940,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",13-2041,Credit Analysts,detailed,1800,9.2,0.727,1.44,52.56,109330,3.2,29.97,36.04,48.2,66.76,81.47,62330,74970,100250,138860,169460,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",13-2052,Personal Financial Advisors,detailed,7100,7.6,2.872,2.01,75.83,157720,3.8,27.13,37.66,64.9,#,#,56430,78320,135000,#,#,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",13-2053,Insurance Underwriters,detailed,1300,16.3,0.527,0.77,46.76,97260,3.6,25.28,31.38,42.93,56.79,73.78,52570,65270,89300,118130,153470,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",13-2061,Financial Examiners,detailed,1780,27.9,0.721,1.64,59.96,124720,7,31.38,38.26,51.52,74.04,#,65260,79570,107160,154000,#,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",13-2071,Credit Counselors,detailed,570,28.2,0.23,1.05,25.49,53010,6.2,16.83,19.58,23.22,28.67,37.68,35000,40730,48300,59640,78370,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",13-2072,Loan Officers,detailed,5190,7.8,2.101,1,40.84,84940,3.7,18.55,24.7,31.62,46.71,73.31,38580,51380,65760,97150,152490,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,440,1.7,0.177,0.48,45.75,95150,1.2,30.34,37.19,45.42,55.37,62.45,63100,77360,94480,115160,129910,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",13-2082,Tax Preparers,detailed,1430,21.7,0.578,1.27,34.75,72280,8.8,13.55,21.05,31.91,47.32,59.93,28170,43790,66370,98420,124660,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",13-2098,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",detailed,14760,5.8,5.969,1.91,57.26,119100,3.1,31.46,38.01,48.8,66.35,96.18,65430,79050,101500,138010,200050,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",15-0000,Computer and Mathematical Occupations,major,163630,2.8,66.189,2.14,59.92,124630,1.9,31.26,42.33,57.96,74.48,91.47,65010,88040,120550,154920,190260,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",15-1211,Computer Systems Analysts,detailed,16980,9.3,6.87,1.71,58.32,121300,1.4,36.17,45.72,57.78,71.46,82.83,75230,95090,120180,148630,172290,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",15-1212,Information Security Analysts,detailed,2260,7.8,0.913,1.07,58.93,122570,1.8,32.31,43.95,57.02,73.81,90.64,67210,91420,118590,153530,188520,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",15-1221,Computer and Information Research Scientists,detailed,2580,31.6,1.044,4.98,68.34,142150,6.6,30.78,46.16,68.62,87.13,#,64030,96000,142740,181230,#,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",15-1231,Computer Network Support Specialists,detailed,3320,10.7,1.341,1.06,41.34,85990,2.2,23.95,30.78,39.75,49.92,62.71,49820,64030,82680,103830,130440,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",15-1232,Computer User Support Specialists,detailed,16980,8.1,6.868,1.56,36.37,75640,1.5,22.69,27.96,35.01,43.91,53.67,47200,58160,72810,91330,111630,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",15-1241,Computer Network Architects,detailed,4250,13,1.719,1.66,66.21,137720,2.5,35.86,53.99,67.37,81.27,94.71,74580,112300,140140,169030,196990,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",15-1244,Network and Computer Systems Administrators,detailed,7070,6.1,2.862,1.19,50.18,104370,1.8,29.83,38.21,48.15,61.5,74.95,62060,79470,100150,127920,155910,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",15-1245,Database Administrators and Architects,detailed,3660,11,1.48,1.73,51.89,107930,2.5,27.91,35.55,49.1,66.49,79.44,58060,73930,102130,138300,165240,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",15-1251,Computer Programmers,detailed,6120,13.2,2.477,1.82,55.96,116400,2.5,34.56,43.13,54.84,69,79.24,71880,89710,114060,143530,164820,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",15-1256,Software Developers and Software Quality Assurance Analysts and Testers,detailed,65790,5.7,26.612,2.78,69.83,145250,3.1,42.07,53.79,67.77,80.87,98.84,87500,111880,140960,168220,205590,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",15-1257,Web Developers and Digital Interface Designers,detailed,6160,9.7,2.493,2.47,53.26,110790,2.5,26.41,36.28,53.14,69.56,81.71,54930,75460,110530,144690,169950,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",15-1299,"Computer Occupations, All Other",detailed,22250,5.5,9,3.36,57.87,120370,3.6,29.52,40.14,53.32,71.22,91.78,61400,83480,110910,148130,190910,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",15-2011,Actuaries,detailed,440,49.7,0.178,1.17,56.01,116500,6.3,32.72,40.2,52.17,64.94,84.06,68060,83630,108520,135070,174850,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",15-2031,Operations Research Analysts,detailed,2460,8.2,0.996,1.47,56.21,116910,2.2,31.23,40.96,55.46,70.25,83.48,64970,85200,115360,146110,173630,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",15-2041,Statisticians,detailed,1770,19.8,0.717,2.7,60.56,125970,2.6,33.77,45.81,60.73,73.77,85.4,70250,95280,126320,153450,177630,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",15-2098,"Data Scientists and Mathematical Science Occupations, All Other",detailed,1410,18.3,0.57,2.72,67.35,140080,4.7,42.84,53.37,66.2,77.33,93.63,89110,111010,137690,160850,194750,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",17-0000,Architecture and Engineering Occupations,major,57780,3.9,23.371,1.32,51.06,106210,1.4,26.64,35.2,48.61,63.75,78.8,55410,73210,101100,132610,163900,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",17-1011,"Architects, Except Landscape and Naval",detailed,4200,13.3,1.701,2.36,49.77,103530,6.6,23.41,36.2,48.16,59.26,76.55,48690,75290,100170,123260,159220,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",17-1012,Landscape Architects,detailed,640,22.3,0.258,1.87,45.55,94750,10.4,25.31,32.12,37.99,55.21,86.88,52650,66810,79020,114830,180710,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",17-1021,Cartographers and Photogrammetrists,detailed,130,11.2,0.054,0.7,50.95,105970,2,37.91,44.14,51.29,58.61,65.49,78840,91810,106670,121900,136210,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",17-1022,Surveyors,detailed,760,15.3,0.306,1,42.72,88860,3,23.8,34.74,43.19,50,60.9,49490,72260,89830,104010,126670,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",17-2011,Aerospace Engineers,detailed,**,**,**,**,65.01,135230,7,40.96,51.06,63.87,75.18,86.42,85200,106210,132850,156370,179750,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",17-2031,Bioengineers and Biomedical Engineers,detailed,530,16.5,0.215,1.6,57.21,119000,3.5,31.52,44.48,56.98,72.31,87.4,65550,92510,118520,150400,181780,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",17-2041,Chemical Engineers,detailed,400,28.2,0.162,0.79,51.17,106430,2.4,35.76,42.18,49,60.13,72.83,74390,87720,101910,125070,151490,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",17-2051,Civil Engineers,detailed,10930,10.8,4.422,2.09,57.75,120110,2,33.75,41.96,55.9,70.02,87.02,70200,87270,116270,145650,181010,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",17-2061,Computer Hardware Engineers,detailed,3490,34.7,1.412,3.05,64.43,134000,6.3,33.06,39.51,57.68,78.02,#,68770,82180,119970,162280,#,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",17-2071,Electrical Engineers,detailed,4340,13.9,1.756,1.39,58.17,120990,2,34.84,44.99,58.82,72.29,81.04,72480,93580,122350,150350,168570,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",17-2072,"Electronics Engineers, Except Computer",detailed,2540,20.5,1.029,1.17,54.23,112800,1.6,35.46,43.08,53.56,65.03,76.49,73750,89610,111400,135250,159110,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",17-2081,Environmental Engineers,detailed,1340,16,0.544,1.5,54.24,112830,3.2,34.72,42.08,51.8,65.83,76.48,72210,87520,107740,136940,159090,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,270,6.3,0.108,0.61,55.19,114800,1.7,39.65,48.41,57.31,61,68.56,82480,100700,119200,126890,142610,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",17-2112,Industrial Engineers,detailed,2910,15,1.177,0.59,54.77,113920,2.6,32.3,39.87,51.56,67.68,81.3,67180,82920,107240,140770,169110,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",17-2121,Marine Engineers and Naval Architects,detailed,60,37.3,0.026,0.34,65.61,136480,2.2,45.73,53.18,65.83,77.47,92.09,95120,110620,136930,161130,191540,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",17-2131,Materials Engineers,detailed,340,25.2,0.137,0.75,50.27,104560,1.9,31.67,40.95,49.57,61.19,72.67,65870,85180,103120,127280,151160,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",17-2141,Mechanical Engineers,detailed,3460,10,1.4,0.67,59.26,123270,1.7,36.32,45.61,58.87,73,84.73,75540,94870,122460,151830,176230,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",detailed,30,16.4,0.013,0.3,63.81,132720,5.4,42,62.41,68.57,71.47,79.93,87360,129810,142620,148660,166250,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",17-2171,Petroleum Engineers,detailed,420,21.5,0.168,0.76,*,*,*,*,*,*,*,*,*,*,*,*,*,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",17-2199,"Engineers, All Other",detailed,4940,12.2,1.998,1.93,54.35,113050,1.8,33.61,42.29,54.45,66.37,77.52,69920,87970,113250,138060,161240,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",17-3011,Architectural and Civil Drafters,detailed,2930,11.8,1.185,1.76,32.24,67050,2.3,22.61,26.29,30.47,37.4,45.28,47020,54680,63380,77790,94180,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",17-3012,Electrical and Electronics Drafters,detailed,390,24.4,0.16,0.97,31.64,65810,5.3,19.9,24.2,28.94,37.77,47.93,41400,50330,60190,78570,99690,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",17-3013,Mechanical Drafters,detailed,680,16.7,0.277,0.74,34.22,71180,3.5,19.08,25.74,32.79,42.99,49.87,39690,53540,68200,89420,103730,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",17-3019,"Drafters, All Other",detailed,190,17.6,0.077,0.78,35.31,73450,4.4,23.68,27.11,32.67,42.9,53.14,49260,56380,67940,89240,110520,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",17-3022,Civil Engineering Technologists and Technicians,detailed,920,11.4,0.371,0.79,36.14,75160,2.3,21.86,29.49,35.99,42.55,51.59,45470,61340,74850,88490,107300,,,4,0,Cross-industry,1235,,cross-industry
