PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC.QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,YEAR,OCC_GROUP,...28,...29,O_GROUP,LOC_QUOTIENT,AREA_TYPE,NAICS,NAICS_TITLE,OWN_CODE,PCT_TOTAL,I_GROUP
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-3021,Computer and Information Systems Managers,NA,5790.0,4.0,6.03,2.57,76.14,158380.0,1.6,49.72,60.5,71.44,86.8,#,103420.0,125840.0,148600.0,180540.0,#,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-3031,Financial Managers,NA,7790.0,3.4,8.12,2.18,78.22,162690.0,2.2,39.02,52.17,71.25,#,#,81160.0,108510.0,148200.0,#,#,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-3051,Industrial Production Managers,NA,630.0,11.1,0.655,0.55,52.9,110030.0,3.7,25.66,35.13,48.03,67.04,85.54,53370.0,73080.0,99910.0,139450.0,177930.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-3061,Purchasing Managers,NA,470.0,7.2,0.491,0.94,60.45,125740.0,2.4,39.26,49.31,59.68,69.29,82.55,81670.0,102570.0,124140.0,144110.0,171710.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-3071,"Transportation, Storage, and Distribution Managers",NA,570.0,7.3,0.591,0.82,52.14,108450.0,3.7,28.46,35.19,46.59,62.75,83.42,59200.0,73190.0,96910.0,130520.0,173510.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-3111,Compensation and Benefits Managers,NA,280.0,7.9,0.295,1.54,59.98,124760.0,3.5,29.96,43.62,54.21,73.37,#,62310.0,90720.0,112750.0,152610.0,#,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-3121,Human Resources Managers,NA,1120.0,5.6,1.171,1.84,65.05,135290.0,2.9,37.77,43.48,56.47,79.16,#,78560.0,90440.0,117450.0,164650.0,#,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-3131,Training and Development Managers,NA,270.0,8.6,0.284,1.34,68.73,142960.0,4.3,35.91,46.94,63.11,82.5,#,74690.0,97640.0,131260.0,171610.0,#,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-9021,Construction Managers,NA,1470.0,8.1,1.534,1.01,58.64,121960.0,3.2,35.13,43.72,55.12,68.96,86.94,73080.0,90930.0,114650.0,143440.0,180840.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-9031,"Education Administrators, Preschool and Childcare Center/Program",NA,470.0,18.5,0.485,1.26,33.31,69290.0,12.5,16.78,20.33,25.3,41.38,68.87,34900.0,42290.0,52620.0,86070.0,143260.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-9032,"Education Administrators, Elementary and Secondary School",NA,1040.0,5.6,1.086,0.63,*,110210.0,4.3,*,*,*,*,*,76840.0,88220.0,106340.0,129200.0,149220.0,TRUE,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-9033,"Education Administrators, Postsecondary",NA,810.0,10.4,0.848,0.96,44.87,93340.0,5.5,22.38,30.25,40.84,57.35,71.38,46550.0,62910.0,84940.0,119290.0,148470.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-9039,"Education Administrators, All Other",NA,230.0,15.5,0.242,1.11,40.43,84100.0,5.6,19.13,27.64,36.91,53.4,63.88,39790.0,57500.0,76760.0,111070.0,132860.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-9041,Architectural and Engineering Managers,NA,1960.0,5.5,2.037,1.42,76.55,159230.0,3.3,48.4,59.28,71.02,87.81,#,100670.0,123290.0,147720.0,182640.0,#,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-9051,Food Service Managers,NA,2220.0,10.6,2.317,1.62,28.84,59990.0,2.9,19.89,23.01,27.31,33.41,40.62,41360.0,47850.0,56800.0,69490.0,84490.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-9081,Lodging Managers,NA,400.0,11.9,0.416,1.79,33.58,69850.0,4.6,18.63,24.63,30.35,35.81,50.16,38760.0,51220.0,63130.0,74480.0,104340.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-9111,Medical and Health Services Managers,NA,1830.0,10.5,1.906,0.85,55.77,116000.0,5.3,26.88,35.59,48.76,67.15,#,55910.0,74030.0,101410.0,139680.0,#,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-9121,Natural Sciences Managers,NA,1480.0,6.1,1.546,4.17,87.68,182380.0,9.7,48.13,59.73,80.03,#,#,100100.0,124240.0,166460.0,#,#,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-9131,Postmasters and Mail Superintendents,NA,40.0,0.0,0.045,0.24,35.24,73300.0,1.9,24.9,27.32,33.9,42.05,46.38,51800.0,56830.0,70520.0,87470.0,96460.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-9141,"Property, Real Estate, and Community Association Managers",NA,3220.0,17.5,3.351,2.82,43.44,90350.0,14.4,8.9,14.06,37.07,56.07,#,18500.0,29250.0,77110.0,116630.0,#,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-9151,Social and Community Service Managers,NA,1300.0,9.0,1.353,1.5,37.69,78400.0,4.0,20.33,25.1,34.57,46.12,57.96,42280.0,52210.0,71910.0,95930.0,120560.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-9161,Emergency Management Directors,NA,**,**,**,**,51.09,106270.0,3.1,38.54,45.58,51.36,56.42,63.7,80160.0,94810.0,106830.0,117340.0,132500.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-9199,"Managers, All Other",NA,4280.0,4.1,4.463,1.67,66.6,138520.0,2.6,36.83,47.97,60.85,76.56,#,76600.0,99770.0,126570.0,159240.0,#,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",13-0000,Business and Financial Operations Occupations,major,81290.0,1.9,84.699,1.76,43.99,91490.0,1.6,22.35,29.24,39.01,52.99,71.26,46490.0,60810.0,81140.0,110230.0,148220.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",NA,110.0,21.2,0.12,1.28,35.86,74580.0,18.6,17.68,21.91,26.98,38.65,56.73,36770.0,45560.0,56120.0,80400.0,117990.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",13-1021,"Buyers and Purchasing Agents, Farm Products",NA,70.0,23.8,0.069,0.87,31.36,65220.0,10.1,16.63,23.59,33.31,41.03,44.19,34600.0,49060.0,69280.0,85340.0,91910.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",13-1022,"Wholesale and Retail Buyers, Except Farm Products",NA,960.0,10.2,0.997,1.21,30.17,62750.0,3.7,16.97,21.1,28.24,35.29,45.72,35300.0,43880.0,58740.0,73410.0,95100.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",NA,1770.0,5.0,1.844,0.86,36.5,75930.0,2.3,22.03,27.51,34.9,44.82,54.19,45820.0,57220.0,72590.0,93220.0,112710.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",13-1031,"Claims Adjusters, Examiners, and Investigators",NA,1840.0,14.5,1.92,0.93,37.8,78620.0,1.5,22.07,30.53,38.48,45.69,52.83,45910.0,63510.0,80040.0,95040.0,109890.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",13-1041,Compliance Officers,NA,2700.0,4.4,2.814,1.71,40.41,84060.0,2.5,25.73,31.56,39.17,48.15,57.9,53510.0,65640.0,81470.0,100140.0,120430.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",13-1051,Cost Estimators,NA,1420.0,9.6,1.477,1.01,40.27,83750.0,2.9,22.28,30.62,37.99,49.55,58.42,46350.0,63700.0,79030.0,103070.0,121500.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",13-1078,"Human Resources, Training, and Labor Relations Specialists, All Other*",NA,4450.0,6.6,4.64,1.37,37.45,77900.0,2.4,20.82,26.84,34.34,46.95,57.52,43300.0,55820.0,71430.0,97660.0,119650.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",13-1081,Logisticians,NA,980.0,6.9,1.025,1.17,38.48,80040.0,2.1,23.72,28.37,36.86,46.1,56.59,49330.0,59020.0,76680.0,95890.0,117710.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",13-1111,Management Analysts,NA,8440.0,5.6,8.79,2.09,54.72,113820.0,4.2,29.88,37.74,45.72,64.36,#,62150.0,78490.0,95090.0,133870.0,#,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",13-1121,"Meeting, Convention, and Event Planners*",NA,1100.0,10.4,1.141,2.29,28.82,59940.0,3.9,15.23,20.5,26.9,34.99,44.85,31680.0,42630.0,55950.0,72780.0,93290.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",13-1141,"Compensation, Benefits, and Job Analysis Specialists",NA,1260.0,5.6,1.318,1.78,35.29,73400.0,2.3,24.7,29.63,33.53,39.98,49.55,51380.0,61630.0,69750.0,83160.0,103070.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",13-1151,Training and Development Specialists,NA,1630.0,9.9,1.696,1.06,38.35,79780.0,3.1,17.7,28.26,39.3,47.36,58.43,36820.0,58770.0,81740.0,98520.0,121540.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",13-1161,Market Research Analysts and Marketing Specialists*,NA,7800.0,4.9,8.124,3.28,42.18,87740.0,3.1,22.04,27.96,38.92,52.68,67.46,45850.0,58160.0,80960.0,109570.0,140320.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",13-1199,"Business Operations Specialists, All Other*",NA,14600.0,3.8,15.21,2.02,40.51,84260.0,3.5,20.43,26.84,36.28,51.0,67.02,42490.0,55820.0,75460.0,106090.0,139400.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",13-2011,Accountants and Auditors,NA,13010.0,4.6,13.553,1.6,41.46,86230.0,1.8,24.23,29.87,37.25,48.89,63.39,50410.0,62120.0,77480.0,101690.0,131850.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",13-2021,Appraisers and Assessors of Real Estate,NA,360.0,18.7,0.37,0.78,39.53,82220.0,5.5,22.46,31.36,40.75,48.13,55.89,46710.0,65240.0,84770.0,100110.0,116240.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",13-2031,Budget Analysts,NA,970.0,10.4,1.006,2.26,40.57,84380.0,2.0,27.0,32.59,39.64,47.64,57.51,56170.0,67790.0,82440.0,99100.0,119610.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",13-2041,Credit Analysts,NA,830.0,13.5,0.861,1.87,49.01,101950.0,5.3,23.7,31.64,43.96,60.22,80.0,49290.0,65810.0,91440.0,125260.0,166390.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",13-2051,Financial Analysts,NA,5120.0,6.1,5.33,3.02,54.32,113000.0,3.4,28.4,34.71,45.6,67.65,89.94,59060.0,72200.0,94850.0,140720.0,187070.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",13-2052,Personal Financial Advisors,NA,4180.0,8.9,4.355,3.45,62.54,130070.0,8.2,19.59,26.7,45.6,#,#,40750.0,55530.0,94850.0,#,#,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",13-2053,Insurance Underwriters,NA,910.0,20.5,0.944,1.3,40.73,84710.0,5.6,19.56,26.61,36.08,55.95,69.76,40670.0,55350.0,75050.0,116380.0,145100.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",13-2061,Financial Examiners,NA,950.0,16.8,0.987,4.51,51.89,107930.0,10.3,30.24,36.09,46.15,65.54,81.71,62900.0,75060.0,96000.0,136330.0,169960.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",13-2071,Credit Counselors,NA,400.0,12.6,0.419,1.83,20.4,42430.0,5.1,15.36,16.59,18.98,22.84,28.19,31950.0,34500.0,39470.0,47520.0,58640.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",13-2072,Loan Officers,NA,1420.0,11.2,1.477,0.67,46.08,95840.0,3.3,25.44,32.14,43.13,58.02,69.77,52920.0,66840.0,89710.0,120680.0,145120.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",13-2082,Tax Preparers,NA,280.0,26.5,0.292,0.63,29.91,62200.0,7.2,20.2,24.08,27.72,33.88,43.06,42010.0,50080.0,57650.0,70470.0,89560.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",13-2099,"Financial Specialists, All Other",NA,3290.0,7.3,3.431,2.89,47.6,99010.0,8.8,21.59,29.12,42.48,66.02,81.08,44910.0,60570.0,88350.0,137330.0,168640.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",15-0000,Computer and Mathematical Occupations,major,53160.0,3.6,55.388,2.09,47.75,99320.0,0.8,27.72,36.96,47.74,58.66,69.71,57670.0,76880.0,99300.0,122020.0,145000.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",15-1111,Computer and Information Research Scientists,NA,850.0,22.8,0.888,4.53,55.73,115930.0,3.6,32.93,46.64,56.82,67.17,75.61,68490.0,97010.0,118180.0,139710.0,157270.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",15-1121,Computer Systems Analysts,NA,7240.0,9.2,7.547,1.98,46.48,96680.0,1.5,29.36,36.76,46.38,56.09,66.8,61060.0,76450.0,96460.0,116670.0,138940.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",15-1131,Computer Programmers,NA,4440.0,11.0,4.625,1.85,46.94,97630.0,2.0,31.09,37.99,47.03,55.94,65.78,64660.0,79010.0,97820.0,116360.0,136820.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",15-1132,"Software Developers, Applications",NA,11310.0,6.5,11.781,2.8,52.35,108890.0,1.4,34.73,42.1,51.96,63.18,72.05,72230.0,87570.0,108080.0,131410.0,149870.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",15-1133,"Software Developers, Systems Software",NA,8110.0,20.5,8.447,2.8,55.23,114880.0,0.9,38.47,46.58,55.56,66.08,73.24,80030.0,96880.0,115570.0,137450.0,152340.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",15-1141,Database Administrators,NA,1190.0,5.9,1.235,1.46,45.18,93980.0,2.0,25.92,34.09,45.89,56.71,66.4,53920.0,70900.0,95440.0,117960.0,138120.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",15-1142,Network and Computer Systems Administrators*,NA,4380.0,5.6,4.569,1.71,46.38,96470.0,1.2,29.67,37.24,45.71,56.02,67.05,61720.0,77450.0,95080.0,116520.0,139450.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",15-1150,Computer Support Specialists,NA,6510.0,11.0,6.787,1.38,33.49,69660.0,1.6,19.65,24.54,32.39,41.36,50.68,40860.0,51040.0,67370.0,86030.0,105420.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",15-1179,"Information Security Analysts, Web Developers, and Computer Network Architects",NA,4820.0,6.6,5.022,2.36,48.88,101660.0,2.0,26.0,35.81,48.29,61.7,72.18,54070.0,74480.0,100440.0,128340.0,150140.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",15-1799,"Computer Occupations, All Other*",NA,2490.0,9.1,2.59,1.87,45.13,93880.0,2.5,24.05,33.67,47.23,56.79,66.38,50010.0,70040.0,98240.0,118120.0,138080.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",15-2011,Actuaries,NA,230.0,27.2,0.241,1.58,42.02,87410.0,6.0,23.43,30.79,40.85,50.85,58.55,48730.0,64040.0,84960.0,105760.0,121790.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",15-2021,Mathematicians,NA,**,**,**,**,43.18,89810.0,14.1,30.39,32.99,44.76,53.34,57.75,63220.0,68610.0,93110.0,110950.0,120130.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",15-2031,Operations Research Analysts,NA,940.0,12.0,0.981,1.94,44.1,91730.0,2.8,26.04,32.7,42.13,53.64,67.68,54160.0,68020.0,87640.0,111560.0,140770.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",15-2041,Statisticians,NA,540.0,8.6,0.558,3.01,50.82,105710.0,5.4,31.15,37.88,49.19,64.07,72.3,64800.0,78780.0,102310.0,133270.0,150380.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",17-0000,Architecture and Engineering Occupations,major,16240.0,3.6,16.924,0.94,44.7,92970.0,1.8,25.21,32.37,42.52,55.36,68.06,52440.0,67330.0,88440.0,115150.0,141570.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",17-1011,"Architects, Except Landscape and Naval",NA,1830.0,8.7,1.91,2.93,45.6,94840.0,8.5,25.71,31.62,40.92,51.54,67.45,53470.0,65770.0,85120.0,107210.0,140300.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
