AREA,ST,STATE,OCC_CODE,OCC_TITLE,GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_Q,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
11,DC,District of Columbia,13-1121,"Meeting, Convention, and Event Planners*",,2160.0,9.1,3.346,6.7,31.36,65230.0,4.0,14.81,21.52,30.02,40.26,46.45,30810.0,44760.0,62440.0,83740.0,96620.0,,
11,DC,District of Columbia,13-1141,"Compensation, Benefits, and Job Analysis Specialists",,870.0,11.9,1.355,1.84,34.62,72020.0,3.1,20.55,26.05,32.74,42.48,53.16,42740.0,54170.0,68090.0,88360.0,110570.0,,
11,DC,District of Columbia,13-1151,Training and Development Specialists,,1380.0,7.3,2.134,1.33,32.59,67790.0,2.5,18.81,22.88,31.15,39.48,50.23,39130.0,47600.0,64800.0,82110.0,104480.0,,
11,DC,District of Columbia,13-1161,Market Research Analysts and Marketing Specialists*,,5440.0,6.9,8.445,3.4,34.15,71020.0,2.8,18.75,22.69,29.99,43.73,55.72,39000.0,47200.0,62370.0,90960.0,115900.0,,
11,DC,District of Columbia,13-1199,"Business Operations Specialists, All Other*",,33190.0,2.0,51.472,6.83,43.53,90550.0,3.4,22.59,30.04,39.82,51.67,74.38,46980.0,62480.0,82840.0,107470.0,154710.0,,
11,DC,District of Columbia,13-2011,Accountants and Auditors,,9820.0,5.3,15.233,1.8,41.36,86030.0,6.4,23.46,28.59,38.52,52.26,62.93,48810.0,59480.0,80120.0,108710.0,130890.0,,
11,DC,District of Columbia,13-2021,Appraisers and Assessors of Real Estate,,270.0,8.3,0.421,0.89,42.55,88500.0,3.0,27.88,32.84,41.18,50.26,61.24,57990.0,68310.0,85650.0,104540.0,127380.0,,
11,DC,District of Columbia,13-2031,Budget Analysts,,1960.0,2.4,3.04,6.83,41.55,86420.0,2.3,26.82,33.35,42.0,48.51,54.86,55790.0,69380.0,87360.0,100900.0,114100.0,,
11,DC,District of Columbia,13-2041,Credit Analysts,,320.0,33.2,0.496,1.08,32.33,67240.0,3.5,21.33,25.97,31.7,35.66,49.04,44360.0,54010.0,65930.0,74180.0,101990.0,,
11,DC,District of Columbia,13-2051,Financial Analysts,,3420.0,8.5,5.303,3.01,45.84,95340.0,4.4,24.54,29.96,38.92,54.85,74.01,51040.0,62320.0,80950.0,114090.0,153940.0,,
11,DC,District of Columbia,13-2052,Personal Financial Advisors,,490.0,28.2,0.761,0.6,54.79,113960.0,16.2,16.73,24.6,33.75,83.62,#,34810.0,51180.0,70200.0,173940.0,#,,
11,DC,District of Columbia,13-2053,Insurance Underwriters,,150.0,4.0,0.23,0.32,28.38,59030.0,2.3,18.41,20.01,22.7,34.1,48.89,38280.0,41630.0,47210.0,70920.0,101680.0,,
11,DC,District of Columbia,13-2061,Financial Examiners,,420.0,7.5,0.647,2.96,62.59,130180.0,9.6,33.69,45.13,65.14,79.13,87.52,70080.0,93860.0,135480.0,164590.0,182050.0,,
11,DC,District of Columbia,13-2071,Credit Counselors,,40.0,15.7,0.056,0.24,25.26,52540.0,1.7,18.6,20.12,22.62,26.99,40.07,38680.0,41850.0,47050.0,56130.0,83360.0,,
11,DC,District of Columbia,13-2072,Loan Officers,,670.0,32.5,1.034,0.47,36.8,76550.0,7.1,18.78,23.98,29.43,40.79,69.93,39060.0,49870.0,61210.0,84850.0,145460.0,,
11,DC,District of Columbia,13-2082,Tax Preparers,,160.0,44.2,0.256,0.55,25.4,52830.0,8.2,9.83,13.42,20.85,31.49,48.08,20450.0,27910.0,43370.0,65500.0,100010.0,,
11,DC,District of Columbia,13-2099,"Financial Specialists, All Other",,2950.0,2.1,4.582,3.86,41.66,86660.0,3.7,22.64,30.04,40.27,48.52,59.01,47080.0,62480.0,83770.0,100920.0,122730.0,,
11,DC,District of Columbia,15-0000,Computer and Mathematical Occupations,major,33470.0,2.7,51.908,1.95,43.59,90670.0,4.1,24.42,32.45,43.2,54.35,64.06,50800.0,67500.0,89850.0,113040.0,133250.0,,
11,DC,District of Columbia,15-1111,Computer and Information Research Scientists,,360.0,13.0,0.555,2.83,54.24,112810.0,2.4,37.4,42.16,53.87,65.76,74.76,77800.0,87690.0,112050.0,136770.0,155500.0,,
11,DC,District of Columbia,15-1121,Computer Systems Analysts,,2950.0,10.8,4.569,1.2,41.64,86620.0,2.7,24.97,32.53,40.98,50.45,60.78,51930.0,67660.0,85230.0,104940.0,126430.0,,
11,DC,District of Columbia,15-1131,Computer Programmers,,2020.0,14.3,3.135,1.26,40.95,85180.0,2.0,25.86,32.23,40.13,49.64,57.14,53780.0,67030.0,83460.0,103250.0,118860.0,,
11,DC,District of Columbia,15-1132,"Software Developers, Applications",,2410.0,14.0,3.739,0.89,46.31,96330.0,3.9,30.1,35.52,45.28,57.76,67.89,62620.0,73880.0,94180.0,120150.0,141200.0,,
11,DC,District of Columbia,15-1133,"Software Developers, Systems Software",,1330.0,11.4,2.062,0.68,48.02,99890.0,1.7,32.56,38.93,46.71,56.85,67.68,67720.0,80980.0,97150.0,118250.0,140770.0,,
11,DC,District of Columbia,15-1141,Database Administrators,,1190.0,8.5,1.844,2.18,38.85,80800.0,2.4,21.64,29.32,38.68,49.84,56.1,45000.0,60980.0,80450.0,103660.0,116690.0,,
11,DC,District of Columbia,15-1142,Network and Computer Systems Administrators*,,3370.0,9.1,5.221,1.96,40.73,84720.0,1.3,25.84,31.52,39.71,49.03,58.16,53750.0,65550.0,82600.0,101970.0,120960.0,,
11,DC,District of Columbia,15-1150,Computer Support Specialists,,5070.0,6.9,7.868,1.6,30.81,64080.0,2.3,17.68,23.05,28.89,37.21,45.1,36780.0,47940.0,60080.0,77390.0,93820.0,,
11,DC,District of Columbia,15-1179,"Information Security Analysts, Web Developers, and Computer Network Architects",,2590.0,10.1,4.017,1.89,42.95,89330.0,2.4,24.92,32.55,41.85,52.17,61.65,51840.0,67710.0,87050.0,108510.0,128230.0,,
11,DC,District of Columbia,15-1799,"Computer Occupations, All Other*",,9240.0,1.1,14.335,10.35,50.42,104860.0,2.9,32.16,42.81,51.37,59.02,65.75,66900.0,89040.0,106850.0,122760.0,136770.0,,
11,DC,District of Columbia,15-2011,Actuaries,,240.0,26.3,0.376,2.46,53.97,112250.0,4.2,27.55,37.2,50.59,65.75,77.72,57290.0,77370.0,105220.0,136760.0,161660.0,,
11,DC,District of Columbia,15-2021,Mathematicians,,60.0,11.7,0.097,4.2,56.54,117600.0,2.8,39.06,51.58,55.49,69.86,74.76,81240.0,107290.0,115420.0,145300.0,155490.0,,
11,DC,District of Columbia,15-2031,Operations Research Analysts,,1750.0,10.7,2.716,5.36,46.35,96410.0,4.0,23.96,33.5,44.71,55.95,70.77,49830.0,69670.0,93000.0,116380.0,147210.0,,
11,DC,District of Columbia,15-2041,Statisticians,,860.0,2.7,1.327,7.16,50.28,104580.0,2.3,34.34,42.81,50.59,57.69,65.75,71430.0,89040.0,105220.0,119990.0,136770.0,,
11,DC,District of Columbia,17-0000,Architecture and Engineering Occupations,major,13230.0,5.7,20.525,1.14,47.16,98090.0,5.1,23.96,32.86,46.22,60.7,73.38,49840.0,68350.0,96130.0,126250.0,152640.0,,
11,DC,District of Columbia,17-1011,"Architects, Except Landscape and Naval",,1610.0,14.0,2.501,3.84,44.33,92200.0,5.0,24.03,29.81,41.39,53.01,67.05,49980.0,62000.0,86080.0,110260.0,139450.0,,
11,DC,District of Columbia,17-1012,Landscape Architects,,50.0,10.9,0.084,0.68,39.97,83130.0,4.9,17.92,30.03,41.09,49.93,55.64,37270.0,62460.0,85470.0,103860.0,115730.0,,
11,DC,District of Columbia,17-2011,Aerospace Engineers,,370.0,32.7,0.576,0.93,57.28,119140.0,4.4,34.57,44.17,61.01,70.27,76.02,71910.0,91880.0,126910.0,146160.0,158130.0,,
11,DC,District of Columbia,17-2031,Biomedical Engineers,,30.0,2.2,0.051,0.39,42.95,89350.0,3.6,29.17,32.57,40.56,54.5,64.95,60680.0,67750.0,84360.0,113350.0,135090.0,,
11,DC,District of Columbia,17-2041,Chemical Engineers,,110.0,5.2,0.166,0.76,52.53,109260.0,2.9,36.33,45.66,53.0,59.01,65.76,75560.0,94970.0,110250.0,122750.0,136770.0,,
11,DC,District of Columbia,17-2051,Civil Engineers,,1010.0,18.2,1.565,0.79,35.31,73450.0,7.5,17.74,24.4,34.76,44.94,54.36,36890.0,50760.0,72310.0,93480.0,113070.0,,
11,DC,District of Columbia,17-2061,Computer Hardware Engineers,,1270.0,38.5,1.972,3.51,53.44,111150.0,2.5,35.03,42.77,53.63,65.3,73.31,72870.0,88970.0,111550.0,135830.0,152490.0,,
11,DC,District of Columbia,17-2071,Electrical Engineers,,530.0,15.2,0.818,0.68,50.29,104610.0,3.7,30.03,38.36,48.89,58.19,78.06,62470.0,79790.0,101690.0,121030.0,162370.0,,
11,DC,District of Columbia,17-2072,"Electronics Engineers, Except Computer",,750.0,12.8,1.156,1.09,52.95,110140.0,3.4,32.41,40.92,53.17,65.48,74.76,67420.0,85120.0,110590.0,136190.0,155490.0,,
11,DC,District of Columbia,17-2081,Environmental Engineers,,460.0,11.6,0.719,1.83,48.25,100350.0,2.9,31.64,39.57,50.17,55.26,63.85,65800.0,82300.0,104340.0,114940.0,132810.0,,
11,DC,District of Columbia,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",,90.0,9.6,0.133,0.74,44.52,92600.0,4.5,26.18,36.0,45.15,54.22,62.89,54440.0,74870.0,93920.0,112770.0,130820.0,,
11,DC,District of Columbia,17-2112,Industrial Engineers,,310.0,22.2,0.474,0.29,41.45,86220.0,6.2,26.41,31.01,37.33,53.78,65.47,54940.0,64510.0,77640.0,111870.0,136170.0,,
11,DC,District of Columbia,17-2121,Marine Engineers and Naval Architects,,380.0,12.6,0.583,13.66,55.97,116410.0,4.6,32.2,42.8,59.01,70.07,76.15,66980.0,89030.0,122750.0,145740.0,158390.0,,
11,DC,District of Columbia,17-2141,Mechanical Engineers,,720.0,4.8,1.117,0.6,44.0,91530.0,2.5,27.78,33.02,44.26,53.09,60.1,57780.0,68680.0,92070.0,110420.0,125000.0,,
11,DC,District of Columbia,17-2161,Nuclear Engineers,,100.0,4.0,0.154,1.07,72.16,150080.0,5.6,52.79,59.96,74.76,80.1,85.2,109810.0,124730.0,155500.0,166610.0,177210.0,,
11,DC,District of Columbia,17-2199,"Engineers, All Other",,2880.0,1.9,4.474,4.57,59.34,123440.0,2.7,37.2,50.58,62.38,71.4,77.18,77370.0,105220.0,129750.0,148510.0,160530.0,,
11,DC,District of Columbia,17-3011,Architectural and Civil Drafters,,450.0,19.2,0.696,1.04,26.86,55870.0,2.2,18.76,20.87,25.54,32.37,36.99,39020.0,43420.0,53130.0,67330.0,76940.0,,
11,DC,District of Columbia,17-3013,Mechanical Drafters,,60.0,36.6,0.085,0.17,29.0,60320.0,2.4,20.59,24.14,29.25,33.57,36.15,42830.0,50200.0,60840.0,69820.0,75190.0,,
11,DC,District of Columbia,17-3019,"Drafters, All Other",,40.0,45.2,0.06,0.48,31.01,64510.0,3.4,21.85,28.45,32.23,35.32,38.68,45450.0,59170.0,67040.0,73470.0,80450.0,,
11,DC,District of Columbia,17-3022,Civil Engineering Technicians,,380.0,22.4,0.592,1.06,27.11,56380.0,8.0,13.81,18.89,28.74,34.74,37.91,28730.0,39290.0,59790.0,72250.0,78850.0,,
11,DC,District of Columbia,17-3023,Electrical and Electronics Engineering Technicians,,700.0,27.3,1.089,0.93,34.76,72300.0,2.9,21.42,27.43,33.14,42.63,51.45,44560.0,57050.0,68930.0,88660.0,107020.0,,
11,DC,District of Columbia,17-3026,Industrial Engineering Technicians,,**,**,**,**,26.12,54330.0,8.4,19.88,21.57,24.25,27.34,29.2,41360.0,44860.0,50440.0,56880.0,60740.0,,
11,DC,District of Columbia,17-3029,"Engineering Technicians, Except Drafters, All Other",,440.0,0.5,0.68,1.34,34.73,72240.0,2.5,14.64,27.3,38.39,43.2,47.34,30460.0,56790.0,79860.0,89850.0,98470.0,,
11,DC,District of Columbia,19-0000,"Life, Physical, and Social Science Occupations",major,19630.0,5.7,30.442,3.61,45.9,95480.0,5.8,20.01,30.04,44.39,59.5,73.39,41610.0,62480.0,92340.0,123760.0,152650.0,,
11,DC,District of Columbia,19-1012,Food Scientists and Technologists,,**,**,**,**,43.85,91210.0,2.3,29.09,34.25,41.02,53.1,66.19,60500.0,71230.0,85310.0,110450.0,137680.0,,
11,DC,District of Columbia,19-1029,"Biological Scientists, All Other",,330.0,9.1,0.516,2.1,47.13,98020.0,2.4,22.93,31.04,42.0,56.31,79.47,47690.0,64560.0,87350.0,117130.0,165300.0,,
11,DC,District of Columbia,19-1031,Conservation Scientists,,130.0,47.0,0.205,1.39,40.03,83270.0,2.8,18.06,22.66,45.65,53.0,56.16,37570.0,47140.0,94950.0,110250.0,116820.0,,
11,DC,District of Columbia,19-1042,"Medical Scientists, Except Epidemiologists",,300.0,13.1,0.467,0.63,48.03,99900.0,2.5,25.43,33.69,50.16,55.65,73.39,52900.0,70070.0,104330.0,115750.0,152650.0,,
11,DC,District of Columbia,19-2011,Astronomers,,160.0,42.7,0.243,14.94,47.99,99810.0,9.6,29.84,36.73,45.65,57.33,74.75,62070.0,76390.0,94950.0,119240.0,155480.0,,
11,DC,District of Columbia,19-2012,Physicists,,490.0,2.6,0.765,6.05,58.65,121990.0,3.0,38.46,50.35,55.76,74.75,74.76,80010.0,104730.0,115980.0,155480.0,155500.0,,
11,DC,District of Columbia,19-2021,Atmospheric and Space Scientists,,60.0,36.8,0.087,1.16,42.14,87650.0,15.9,11.92,22.95,41.57,59.02,71.55,24790.0,47730.0,86460.0,122760.0,148820.0,,
11,DC,District of Columbia,19-2031,Chemists,,370.0,4.7,0.579,0.93,52.11,108390.0,4.0,29.22,43.87,53.01,63.35,73.39,60790.0,91240.0,110250.0,131770.0,152650.0,,
11,DC,District of Columbia,19-2041,"Environmental Scientists and Specialists, Including Health",,1370.0,4.2,2.13,3.29,53.44,111160.0,3.0,30.04,42.98,53.96,65.75,74.75,62470.0,89400.0,112230.0,136760.0,155480.0,,
11,DC,District of Columbia,19-2099,"Physical Scientists, All Other",,780.0,5.2,1.216,6.05,57.96,120570.0,3.1,36.0,47.08,59.96,71.4,74.76,74870.0,97930.0,124710.0,148510.0,155500.0,,
11,DC,District of Columbia,19-3011,Economists,,3770.0,4.7,5.853,52.62,54.54,113440.0,2.9,30.04,40.79,53.01,65.91,74.76,62480.0,84850.0,110250.0,137090.0,155500.0,,
11,DC,District of Columbia,19-3022,Survey Researchers,,360.0,18.4,0.551,4.14,38.38,79840.0,12.0,15.36,21.57,31.0,45.02,75.28,31940.0,44860.0,64470.0,93630.0,156590.0,,
11,DC,District of Columbia,19-3031,"Clinical, Counseling, and School Psychologists",,390.0,15.2,0.61,0.78,38.38,79830.0,4.9,17.63,28.56,37.44,43.9,50.63,36680.0,59400.0,77880.0,91300.0,105320.0,,
11,DC,District of Columbia,19-3032,Industrial-Organizational Psychologists,,**,**,**,**,42.14,87650.0,4.0,38.03,39.73,42.36,44.8,46.3,79100.0,82630.0,88110.0,93190.0,96300.0,,
11,DC,District of Columbia,19-3039,"Psychologists, All Other",,190.0,0.9,0.302,3.66,44.19,91920.0,2.8,27.11,35.97,44.39,53.0,57.78,56380.0,74810.0,92330.0,110240.0,120180.0,,
11,DC,District of Columbia,19-3041,Sociologists,,220.0,16.6,0.343,15.55,50.41,104850.0,4.8,26.3,35.52,48.99,62.39,79.42,54700.0,73870.0,101900.0,129760.0,165190.0,,
11,DC,District of Columbia,19-3051,Urban and Regional Planners,,200.0,22.5,0.311,1.04,43.32,90100.0,4.0,25.3,28.64,43.97,54.22,60.7,52630.0,59570.0,91450.0,112780.0,126250.0,,
11,DC,District of Columbia,19-3091,Anthropologists and Archeologists,,50.0,6.7,0.079,1.89,45.01,93620.0,2.6,30.61,33.04,44.24,52.8,57.64,63680.0,68720.0,92010.0,109820.0,119890.0,,
11,DC,District of Columbia,19-3093,Historians,,260.0,9.3,0.397,15.96,43.43,90340.0,4.6,18.12,37.19,45.6,54.21,60.69,37680.0,77360.0,94840.0,112760.0,126240.0,,
11,DC,District of Columbia,19-3094,Political Scientists,,3120.0,3.7,4.842,116.26,55.56,115560.0,3.8,30.03,42.81,55.65,65.76,74.75,62470.0,89040.0,115740.0,136770.0,155490.0,,
11,DC,District of Columbia,19-3099,"Social Scientists and Related Workers, All Other",,2960.0,10.2,4.587,18.67,42.55,88510.0,2.1,25.64,32.27,40.79,50.59,62.38,53340.0,67120.0,84850.0,105220.0,129760.0,,
11,DC,District of Columbia,19-4021,Biological Technicians,,120.0,3.5,0.192,0.34,20.48,42590.0,6.0,11.96,15.23,18.32,25.64,29.22,24870.0,31680.0,38100.0,53340.0,60770.0,,
11,DC,District of Columbia,19-4031,Chemical Technicians,,70.0,16.8,0.101,0.22,20.96,43590.0,4.2,11.63,16.27,20.06,24.79,28.78,24180.0,33830.0,41720.0,51560.0,59870.0,,
11,DC,District of Columbia,19-4061,Social Science Research Assistants,,2450.0,33.2,3.798,18.6,23.99,49890.0,4.2,11.74,15.69,20.93,29.24,40.39,24420.0,32640.0,43520.0,60830.0,84020.0,,
11,DC,District of Columbia,19-4091,"Environmental Science and Protection Technicians, Including Health",,210.0,14.0,0.328,1.39,18.77,39030.0,15.3,9.65,10.48,12.64,24.03,37.59,20060.0,21790.0,26290.0,49980.0,78190.0,,
11,DC,District of Columbia,19-4092,Forensic Science Technicians,,270.0,28.2,0.424,4.33,35.6,74050.0,3.2,23.55,26.69,32.98,40.97,54.58,48980.0,55510.0,68590.0,85220.0,113530.0,,
11,DC,District of Columbia,19-4099,"Life, Physical, and Social Science Technicians, All Other",,260.0,2.2,0.403,0.88,26.37,54860.0,2.0,14.64,18.8,24.36,28.46,46.03,30450.0,39110.0,50660.0,59200.0,95730.0,,
11,DC,District of Columbia,21-0000,Community and Social Service Occupations,major,9790.0,4.0,15.181,1.03,25.23,52480.0,4.2,12.02,16.4,22.92,32.5,41.39,25000.0,34110.0,47670.0,67610.0,86100.0,,
11,DC,District of Columbia,21-1011,Substance Abuse and Behavioral Disorder Counselors,,310.0,24.7,0.487,0.82,20.78,43220.0,4.9,13.06,15.86,20.06,24.12,31.33,27160.0,32990.0,41710.0,50170.0,65170.0,,
11,DC,District of Columbia,21-1012,"Educational, Guidance, School, and Vocational Counselors",,1050.0,10.3,1.633,0.86,28.78,59870.0,3.3,15.23,20.62,26.65,35.92,44.17,31670.0,42890.0,55440.0,74710.0,91860.0,,
11,DC,District of Columbia,21-1014,Mental Health Counselors,,600.0,8.9,0.926,1.04,20.35,42340.0,9.5,12.15,14.34,19.49,25.11,30.66,25280.0,29840.0,40540.0,52230.0,63770.0,,
11,DC,District of Columbia,21-1015,Rehabilitation Counselors,,430.0,12.9,0.674,0.78,18.08,37600.0,17.0,10.01,10.83,13.49,24.83,32.5,20820.0,22530.0,28060.0,51660.0,67600.0,,
