AREA,ST,AREA_NAME,OCC_CODE,OCC_TITLE,GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_Q,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,YEAR,OCC_GROUP,AREA_TYPE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,O_GROUP,LOC_QUOTIENT,PCT_TOTAL,PRIM_STATE,PCT_RPT
11,DC,District of Columbia,11-3031,Financial Managers,NA,6830.0,2.1,10.591,2.84,62.84,130700.0,2.2,39.3,50.7,61.48,71.4,84.69,81750.0,105470.0,127890.0,148500.0,176160.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,11-3051,Industrial Production Managers,NA,40.0,22.4,0.059,0.05,48.55,100980.0,4.1,31.91,38.11,45.26,59.5,69.1,66360.0,79260.0,94130.0,123750.0,143730.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,11-3061,Purchasing Managers,NA,1560.0,1.4,2.423,4.64,60.52,125870.0,2.6,50.58,55.63,60.7,67.44,73.39,105210.0,115710.0,126250.0,140270.0,152650.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,11-3071,"Transportation, Storage, and Distribution Managers",NA,420.0,3.7,0.644,0.9,59.26,123270.0,3.3,40.64,48.52,61.48,71.39,74.76,84540.0,100920.0,127880.0,148490.0,155500.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,11-3111,Compensation and Benefits Managers,NA,260.0,10.9,0.4,2.09,44.66,92890.0,4.7,28.72,36.62,42.65,51.16,58.92,59740.0,76170.0,88700.0,106420.0,122550.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,11-3121,Human Resources Managers,NA,1290.0,3.6,2.004,3.14,63.38,131830.0,3.4,37.35,50.61,65.45,73.38,81.94,77680.0,105260.0,136130.0,152640.0,170440.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,11-3131,Training and Development Managers,NA,310.0,12.2,0.482,2.28,41.89,87140.0,7.4,16.71,21.19,40.69,55.04,73.47,34760.0,44070.0,84640.0,114480.0,152820.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,11-9021,Construction Managers,NA,800.0,11.1,1.239,0.82,53.78,111860.0,6.4,26.88,37.63,49.68,61.1,84.61,55910.0,78270.0,103340.0,127100.0,175980.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,11-9031,"Education Administrators, Preschool and Childcare Center/Program",NA,270.0,17.1,0.425,1.11,31.01,64500.0,8.4,15.24,18.4,26.09,42.03,57.03,31700.0,38270.0,54270.0,87420.0,118630.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,11-9032,"Education Administrators, Elementary and Secondary School",NA,670.0,10.8,1.034,0.6,*,85920.0,6.2,*,*,*,*,*,50440.0,66160.0,86010.0,107920.0,121320.0,TRUE,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,11-9033,"Education Administrators, Postsecondary",NA,1670.0,9.1,2.595,2.93,46.14,95970.0,7.3,20.45,26.83,36.31,54.89,86.46,42530.0,55810.0,75520.0,114170.0,179840.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,11-9039,"Education Administrators, All Other",NA,670.0,9.2,1.04,4.75,51.64,107400.0,3.6,29.48,41.51,49.94,60.69,72.79,61320.0,86340.0,103870.0,126240.0,151400.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,11-9041,Architectural and Engineering Managers,NA,1990.0,3.8,3.084,2.14,63.49,132060.0,2.9,49.75,57.33,64.47,71.4,76.98,103480.0,119240.0,134100.0,148500.0,160120.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,11-9051,Food Service Managers,NA,1470.0,15.7,2.279,1.59,27.27,56720.0,4.9,11.55,19.59,23.94,34.39,43.41,24030.0,40750.0,49800.0,71530.0,90300.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,11-9081,Lodging Managers,NA,240.0,19.2,0.373,1.6,34.78,72340.0,4.6,18.11,21.03,28.94,41.91,53.23,37670.0,43730.0,60190.0,87170.0,110710.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,11-9111,Medical and Health Services Managers,NA,1510.0,7.1,2.343,1.05,48.61,101110.0,5.3,23.7,34.88,46.79,61.88,74.75,49300.0,72540.0,97330.0,128710.0,155480.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,11-9121,Natural Sciences Managers,NA,1020.0,2.4,1.584,4.28,59.65,124070.0,4.4,40.24,50.91,60.7,71.4,74.76,83700.0,105890.0,126260.0,148510.0,155500.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,11-9141,"Property, Real Estate, and Community Association Managers",NA,1450.0,15.8,2.253,1.9,32.77,68160.0,9.8,10.97,19.43,31.01,44.31,55.56,22820.0,40420.0,64500.0,92170.0,115550.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,11-9151,Social and Community Service Managers,NA,1090.0,10.7,1.684,1.87,39.76,82700.0,3.6,18.38,26.98,40.38,48.52,60.34,38240.0,56120.0,83980.0,100920.0,125500.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,11-9199,"Managers, All Other",NA,16410.0,0.9,25.45,9.5,61.06,127000.0,2.4,47.09,53.95,60.7,68.66,74.76,97940.0,112220.0,126250.0,142820.0,155490.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,13-0000,Business and Financial Operations Occupations,major,95350.0,1.5,147.888,3.07,41.23,85770.0,1.3,21.83,29.13,39.04,49.93,64.06,45400.0,60590.0,81210.0,103860.0,133250.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,13-1022,"Wholesale and Retail Buyers, Except Farm Products",NA,120.0,18.9,0.178,0.22,21.19,44070.0,5.3,15.05,16.11,17.89,25.77,33.74,31310.0,33520.0,37210.0,53600.0,70180.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",NA,2360.0,1.8,3.66,1.71,39.13,81380.0,2.2,24.81,30.03,37.2,47.08,54.26,51610.0,62470.0,77370.0,97930.0,112860.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,13-1031,"Claims Adjusters, Examiners, and Investigators",NA,700.0,4.6,1.085,0.53,34.17,71080.0,3.5,20.29,24.83,33.88,42.81,48.51,42210.0,51640.0,70470.0,89040.0,100910.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,13-1041,Compliance Officers,NA,2680.0,2.9,4.154,2.53,39.97,83140.0,2.7,24.83,31.03,38.71,47.09,55.64,51640.0,64550.0,80520.0,97950.0,115730.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,13-1051,Cost Estimators,NA,170.0,15.7,0.266,0.18,32.56,67730.0,5.0,19.13,22.02,30.59,40.11,53.03,39790.0,45810.0,63630.0,83440.0,110310.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,13-1078,"Human Resources, Training, and Labor Relations Specialists, All Other*",NA,6540.0,5.7,10.145,2.98,39.88,82950.0,6.5,20.11,26.9,39.6,51.36,59.02,41830.0,55960.0,82360.0,106830.0,122750.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,13-1081,Logisticians,NA,860.0,13.1,1.339,1.53,46.09,95860.0,2.2,27.31,35.03,45.65,55.65,65.76,56800.0,72870.0,94960.0,115750.0,136780.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,13-1111,Management Analysts,NA,17860.0,2.7,27.7,6.59,41.36,86040.0,1.8,24.71,31.04,42.06,49.64,55.65,51390.0,64560.0,87470.0,103260.0,115750.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,13-1121,"Meeting, Convention, and Event Planners*",NA,2160.0,9.1,3.346,6.7,31.36,65230.0,4.0,14.81,21.52,30.02,40.26,46.45,30810.0,44760.0,62440.0,83740.0,96620.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,13-1141,"Compensation, Benefits, and Job Analysis Specialists",NA,870.0,11.9,1.355,1.84,34.62,72020.0,3.1,20.55,26.05,32.74,42.48,53.16,42740.0,54170.0,68090.0,88360.0,110570.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,13-1151,Training and Development Specialists,NA,1380.0,7.3,2.134,1.33,32.59,67790.0,2.5,18.81,22.88,31.15,39.48,50.23,39130.0,47600.0,64800.0,82110.0,104480.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,13-1161,Market Research Analysts and Marketing Specialists*,NA,5440.0,6.9,8.445,3.4,34.15,71020.0,2.8,18.75,22.69,29.99,43.73,55.72,39000.0,47200.0,62370.0,90960.0,115900.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,13-1199,"Business Operations Specialists, All Other*",NA,33190.0,2.0,51.472,6.83,43.53,90550.0,3.4,22.59,30.04,39.82,51.67,74.38,46980.0,62480.0,82840.0,107470.0,154710.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,13-2011,Accountants and Auditors,NA,9820.0,5.3,15.233,1.8,41.36,86030.0,6.4,23.46,28.59,38.52,52.26,62.93,48810.0,59480.0,80120.0,108710.0,130890.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,13-2021,Appraisers and Assessors of Real Estate,NA,270.0,8.3,0.421,0.89,42.55,88500.0,3.0,27.88,32.84,41.18,50.26,61.24,57990.0,68310.0,85650.0,104540.0,127380.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,13-2031,Budget Analysts,NA,1960.0,2.4,3.04,6.83,41.55,86420.0,2.3,26.82,33.35,42.0,48.51,54.86,55790.0,69380.0,87360.0,100900.0,114100.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,13-2041,Credit Analysts,NA,320.0,33.2,0.496,1.08,32.33,67240.0,3.5,21.33,25.97,31.7,35.66,49.04,44360.0,54010.0,65930.0,74180.0,101990.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,13-2051,Financial Analysts,NA,3420.0,8.5,5.303,3.01,45.84,95340.0,4.4,24.54,29.96,38.92,54.85,74.01,51040.0,62320.0,80950.0,114090.0,153940.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,13-2052,Personal Financial Advisors,NA,490.0,28.2,0.761,0.6,54.79,113960.0,16.2,16.73,24.6,33.75,83.62,#,34810.0,51180.0,70200.0,173940.0,#,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,13-2053,Insurance Underwriters,NA,150.0,4.0,0.23,0.32,28.38,59030.0,2.3,18.41,20.01,22.7,34.1,48.89,38280.0,41630.0,47210.0,70920.0,101680.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,13-2061,Financial Examiners,NA,420.0,7.5,0.647,2.96,62.59,130180.0,9.6,33.69,45.13,65.14,79.13,87.52,70080.0,93860.0,135480.0,164590.0,182050.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,13-2071,Credit Counselors,NA,40.0,15.7,0.056,0.24,25.26,52540.0,1.7,18.6,20.12,22.62,26.99,40.07,38680.0,41850.0,47050.0,56130.0,83360.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,13-2072,Loan Officers,NA,670.0,32.5,1.034,0.47,36.8,76550.0,7.1,18.78,23.98,29.43,40.79,69.93,39060.0,49870.0,61210.0,84850.0,145460.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,13-2082,Tax Preparers,NA,160.0,44.2,0.256,0.55,25.4,52830.0,8.2,9.83,13.42,20.85,31.49,48.08,20450.0,27910.0,43370.0,65500.0,100010.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,13-2099,"Financial Specialists, All Other",NA,2950.0,2.1,4.582,3.86,41.66,86660.0,3.7,22.64,30.04,40.27,48.52,59.01,47080.0,62480.0,83770.0,100920.0,122730.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,15-0000,Computer and Mathematical Occupations,major,33470.0,2.7,51.908,1.95,43.59,90670.0,4.1,24.42,32.45,43.2,54.35,64.06,50800.0,67500.0,89850.0,113040.0,133250.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,15-1111,Computer and Information Research Scientists,NA,360.0,13.0,0.555,2.83,54.24,112810.0,2.4,37.4,42.16,53.87,65.76,74.76,77800.0,87690.0,112050.0,136770.0,155500.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,15-1121,Computer Systems Analysts,NA,2950.0,10.8,4.569,1.2,41.64,86620.0,2.7,24.97,32.53,40.98,50.45,60.78,51930.0,67660.0,85230.0,104940.0,126430.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,15-1131,Computer Programmers,NA,2020.0,14.3,3.135,1.26,40.95,85180.0,2.0,25.86,32.23,40.13,49.64,57.14,53780.0,67030.0,83460.0,103250.0,118860.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,15-1132,"Software Developers, Applications",NA,2410.0,14.0,3.739,0.89,46.31,96330.0,3.9,30.1,35.52,45.28,57.76,67.89,62620.0,73880.0,94180.0,120150.0,141200.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,15-1133,"Software Developers, Systems Software",NA,1330.0,11.4,2.062,0.68,48.02,99890.0,1.7,32.56,38.93,46.71,56.85,67.68,67720.0,80980.0,97150.0,118250.0,140770.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,15-1141,Database Administrators,NA,1190.0,8.5,1.844,2.18,38.85,80800.0,2.4,21.64,29.32,38.68,49.84,56.1,45000.0,60980.0,80450.0,103660.0,116690.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,15-1142,Network and Computer Systems Administrators*,NA,3370.0,9.1,5.221,1.96,40.73,84720.0,1.3,25.84,31.52,39.71,49.03,58.16,53750.0,65550.0,82600.0,101970.0,120960.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,15-1150,Computer Support Specialists,NA,5070.0,6.9,7.868,1.6,30.81,64080.0,2.3,17.68,23.05,28.89,37.21,45.1,36780.0,47940.0,60080.0,77390.0,93820.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,15-1179,"Information Security Analysts, Web Developers, and Computer Network Architects",NA,2590.0,10.1,4.017,1.89,42.95,89330.0,2.4,24.92,32.55,41.85,52.17,61.65,51840.0,67710.0,87050.0,108510.0,128230.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,15-1799,"Computer Occupations, All Other*",NA,9240.0,1.1,14.335,10.35,50.42,104860.0,2.9,32.16,42.81,51.37,59.02,65.75,66900.0,89040.0,106850.0,122760.0,136770.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,15-2011,Actuaries,NA,240.0,26.3,0.376,2.46,53.97,112250.0,4.2,27.55,37.2,50.59,65.75,77.72,57290.0,77370.0,105220.0,136760.0,161660.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,15-2021,Mathematicians,NA,60.0,11.7,0.097,4.2,56.54,117600.0,2.8,39.06,51.58,55.49,69.86,74.76,81240.0,107290.0,115420.0,145300.0,155490.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,15-2031,Operations Research Analysts,NA,1750.0,10.7,2.716,5.36,46.35,96410.0,4.0,23.96,33.5,44.71,55.95,70.77,49830.0,69670.0,93000.0,116380.0,147210.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,15-2041,Statisticians,NA,860.0,2.7,1.327,7.16,50.28,104580.0,2.3,34.34,42.81,50.59,57.69,65.75,71430.0,89040.0,105220.0,119990.0,136770.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,17-0000,Architecture and Engineering Occupations,major,13230.0,5.7,20.525,1.14,47.16,98090.0,5.1,23.96,32.86,46.22,60.7,73.38,49840.0,68350.0,96130.0,126250.0,152640.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,17-1011,"Architects, Except Landscape and Naval",NA,1610.0,14.0,2.501,3.84,44.33,92200.0,5.0,24.03,29.81,41.39,53.01,67.05,49980.0,62000.0,86080.0,110260.0,139450.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,17-1012,Landscape Architects,NA,50.0,10.9,0.084,0.68,39.97,83130.0,4.9,17.92,30.03,41.09,49.93,55.64,37270.0,62460.0,85470.0,103860.0,115730.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,17-2011,Aerospace Engineers,NA,370.0,32.7,0.576,0.93,57.28,119140.0,4.4,34.57,44.17,61.01,70.27,76.02,71910.0,91880.0,126910.0,146160.0,158130.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,17-2031,Biomedical Engineers,NA,30.0,2.2,0.051,0.39,42.95,89350.0,3.6,29.17,32.57,40.56,54.5,64.95,60680.0,67750.0,84360.0,113350.0,135090.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,17-2041,Chemical Engineers,NA,110.0,5.2,0.166,0.76,52.53,109260.0,2.9,36.33,45.66,53.0,59.01,65.76,75560.0,94970.0,110250.0,122750.0,136770.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,17-2051,Civil Engineers,NA,1010.0,18.2,1.565,0.79,35.31,73450.0,7.5,17.74,24.4,34.76,44.94,54.36,36890.0,50760.0,72310.0,93480.0,113070.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,17-2061,Computer Hardware Engineers,NA,1270.0,38.5,1.972,3.51,53.44,111150.0,2.5,35.03,42.77,53.63,65.3,73.31,72870.0,88970.0,111550.0,135830.0,152490.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,17-2071,Electrical Engineers,NA,530.0,15.2,0.818,0.68,50.29,104610.0,3.7,30.03,38.36,48.89,58.19,78.06,62470.0,79790.0,101690.0,121030.0,162370.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,17-2072,"Electronics Engineers, Except Computer",NA,750.0,12.8,1.156,1.09,52.95,110140.0,3.4,32.41,40.92,53.17,65.48,74.76,67420.0,85120.0,110590.0,136190.0,155490.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,17-2081,Environmental Engineers,NA,460.0,11.6,0.719,1.83,48.25,100350.0,2.9,31.64,39.57,50.17,55.26,63.85,65800.0,82300.0,104340.0,114940.0,132810.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",NA,90.0,9.6,0.133,0.74,44.52,92600.0,4.5,26.18,36.0,45.15,54.22,62.89,54440.0,74870.0,93920.0,112770.0,130820.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,17-2112,Industrial Engineers,NA,310.0,22.2,0.474,0.29,41.45,86220.0,6.2,26.41,31.01,37.33,53.78,65.47,54940.0,64510.0,77640.0,111870.0,136170.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,17-2121,Marine Engineers and Naval Architects,NA,380.0,12.6,0.583,13.66,55.97,116410.0,4.6,32.2,42.8,59.01,70.07,76.15,66980.0,89030.0,122750.0,145740.0,158390.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,17-2141,Mechanical Engineers,NA,720.0,4.8,1.117,0.6,44.0,91530.0,2.5,27.78,33.02,44.26,53.09,60.1,57780.0,68680.0,92070.0,110420.0,125000.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,17-2161,Nuclear Engineers,NA,100.0,4.0,0.154,1.07,72.16,150080.0,5.6,52.79,59.96,74.76,80.1,85.2,109810.0,124730.0,155500.0,166610.0,177210.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,17-2199,"Engineers, All Other",NA,2880.0,1.9,4.474,4.57,59.34,123440.0,2.7,37.2,50.58,62.38,71.4,77.18,77370.0,105220.0,129750.0,148510.0,160530.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,17-3011,Architectural and Civil Drafters,NA,450.0,19.2,0.696,1.04,26.86,55870.0,2.2,18.76,20.87,25.54,32.37,36.99,39020.0,43420.0,53130.0,67330.0,76940.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,17-3013,Mechanical Drafters,NA,60.0,36.6,0.085,0.17,29.0,60320.0,2.4,20.59,24.14,29.25,33.57,36.15,42830.0,50200.0,60840.0,69820.0,75190.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
