AREA,ST,STATE,OCC_CODE,OCC_TITLE,GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC.QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
11,DC,District of Columbia,17-2081,Environmental Engineers,,450.0,8.2,0.704,1.797,47.67,99150.0,2.8,30.3,38.81,50.17,54.21,62.72,63030.0,80720.0,104350.0,112760.0,130460.0,,
11,DC,District of Columbia,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",,80.0,8.3,0.123,0.668,42.33,88050.0,9.1,16.81,27.31,46.35,55.64,65.75,34970.0,56800.0,96400.0,115740.0,136770.0,,
11,DC,District of Columbia,17-2112,Industrial Engineers,,320.0,25.1,0.5,0.313,43.18,89810.0,9.0,26.8,29.87,35.1,49.92,74.68,55750.0,62120.0,73020.0,103820.0,155340.0,,
11,DC,District of Columbia,17-2141,Mechanical Engineers,,750.0,4.6,1.166,0.632,46.3,96310.0,3.2,26.92,34.83,45.83,55.65,67.91,55990.0,72450.0,95340.0,115740.0,141260.0,,
11,DC,District of Columbia,17-2161,Nuclear Engineers,,170.0,1.4,0.266,1.817,68.72,142930.0,3.3,52.8,60.27,69.74,78.49,#,109820.0,125360.0,145050.0,163270.0,#,,
11,DC,District of Columbia,17-2199,"Engineers, All Other",,2710.0,2.7,4.235,3.855,58.64,121960.0,3.3,35.48,49.67,61.48,71.4,77.3,73790.0,103310.0,127890.0,148500.0,160780.0,,
11,DC,District of Columbia,17-3011,Architectural and Civil Drafters,,420.0,28.7,0.655,0.928,26.31,54730.0,3.0,16.75,20.67,25.21,31.54,36.61,34850.0,43000.0,52440.0,65610.0,76140.0,,
11,DC,District of Columbia,17-3012,Electrical and Electronics Drafters,,**,**,**,**,24.7,51370.0,6.3,16.09,18.85,22.51,28.96,37.89,33470.0,39200.0,46820.0,60240.0,78810.0,,
11,DC,District of Columbia,17-3022,Civil Engineering Technicians,,400.0,18.2,0.628,1.036,27.71,57630.0,9.2,14.23,20.04,29.08,34.86,39.02,29600.0,41670.0,60480.0,72500.0,81160.0,,
11,DC,District of Columbia,17-3023,Electrical and Electronics Engineering Technicians,,440.0,8.2,0.693,0.596,34.14,71010.0,3.3,21.71,27.4,33.01,40.7,47.34,45150.0,56980.0,68670.0,84660.0,98470.0,,
11,DC,District of Columbia,17-3026,Industrial Engineering Technicians,,110.0,39.4,0.174,0.359,26.16,54410.0,8.5,19.56,21.26,23.97,27.07,38.77,40690.0,44220.0,49860.0,56300.0,80640.0,,
11,DC,District of Columbia,17-3029,"Engineering Technicians, Except Drafters, All Other",,460.0,0.5,0.726,1.386,34.29,71320.0,2.3,14.64,24.98,37.2,43.2,47.34,30460.0,51950.0,77370.0,89850.0,98460.0,,
11,DC,District of Columbia,19-0000,"Life, Physical, and Social Science Occupations",major,18770.0,3.5,29.357,3.505,47.33,98440.0,4.3,21.3,31.69,45.66,60.7,74.75,44310.0,65910.0,94960.0,126250.0,155480.0,,
11,DC,District of Columbia,19-1022,Microbiologists,,90.0,0.0,0.137,0.95,50.18,104370.0,2.1,28.44,42.8,52.79,57.33,65.76,59150.0,89030.0,109810.0,119250.0,136770.0,,
11,DC,District of Columbia,19-1023,Zoologists and Wildlife Biologists,,100.0,0.0,0.162,1.18,51.22,106540.0,2.1,24.35,42.0,50.17,65.75,74.75,50660.0,87360.0,104350.0,136770.0,155490.0,,
11,DC,District of Columbia,19-1029,"Biological Scientists, All Other",,330.0,0.0,0.513,2.143,*,*,*,*,*,*,*,*,*,*,*,*,*,,
11,DC,District of Columbia,19-1031,Conservation Scientists,,160.0,41.5,0.258,1.736,35.99,74860.0,22.9,17.25,19.62,38.19,53.0,54.06,35880.0,40820.0,79440.0,110240.0,112440.0,,
11,DC,District of Columbia,19-1042,"Medical Scientists, Except Epidemiologists",,310.0,22.8,0.487,0.662,47.51,98810.0,4.4,26.43,33.87,49.96,53.83,69.6,54970.0,70450.0,103910.0,111970.0,144770.0,,
11,DC,District of Columbia,19-2012,Physicists,,500.0,2.5,0.779,5.873,58.48,121650.0,3.5,38.63,50.01,55.76,74.75,74.76,80360.0,104010.0,115980.0,155480.0,155500.0,,
11,DC,District of Columbia,19-2031,Chemists,,340.0,2.2,0.528,0.837,53.85,112000.0,2.9,37.2,45.93,53.01,64.07,73.39,77370.0,95540.0,110260.0,133260.0,152650.0,,
11,DC,District of Columbia,19-2041,"Environmental Scientists and Specialists, Including Health",,1440.0,5.2,2.253,3.505,52.01,108190.0,3.6,28.23,41.98,52.7,64.07,73.39,58710.0,87320.0,109610.0,133260.0,152650.0,,
11,DC,District of Columbia,19-2042,"Geoscientists, Except Hydrologists and Geographers",,80.0,49.0,0.131,0.54,48.61,101110.0,7.9,28.29,37.2,50.16,55.65,74.76,58850.0,77370.0,104330.0,115750.0,155490.0,,
11,DC,District of Columbia,19-2099,"Physical Scientists, All Other",,700.0,4.2,1.097,5.646,58.37,121410.0,2.2,36.0,49.93,60.69,71.4,74.76,74870.0,103860.0,126240.0,148500.0,155500.0,,
11,DC,District of Columbia,19-3011,Economists,,4100.0,5.0,6.408,61.474,55.46,115350.0,3.2,30.03,40.8,53.96,67.44,76.16,62470.0,84860.0,112230.0,140270.0,158400.0,,
11,DC,District of Columbia,19-3022,Survey Researchers,,480.0,21.0,0.753,5.363,34.75,72280.0,12.2,16.99,22.28,29.86,38.53,60.91,35340.0,46340.0,62100.0,80130.0,126690.0,,
11,DC,District of Columbia,19-3031,"Clinical, Counseling, and School Psychologists",,480.0,9.7,0.747,0.943,35.37,73580.0,5.0,18.25,27.78,34.43,41.3,46.4,37970.0,57790.0,71610.0,85910.0,96500.0,,
11,DC,District of Columbia,19-3032,Industrial-Organizational Psychologists,,**,**,**,**,39.15,81430.0,7.3,31.64,37.01,39.96,43.04,45.18,65800.0,76980.0,83120.0,89520.0,93970.0,,
11,DC,District of Columbia,19-3041,Sociologists,,490.0,26.8,0.762,26.084,49.27,102490.0,4.4,24.71,33.05,42.59,62.38,#,51400.0,68750.0,88590.0,129760.0,#,,
11,DC,District of Columbia,19-3051,Urban and Regional Planners,,200.0,24.0,0.306,1.002,42.64,88690.0,4.1,24.87,27.59,42.64,53.96,63.09,51730.0,57380.0,88690.0,112230.0,131230.0,,
11,DC,District of Columbia,19-3091,Anthropologists and Archeologists,,50.0,5.8,0.074,1.843,44.5,92570.0,2.4,29.8,33.04,44.39,52.79,57.32,61970.0,68720.0,92330.0,109810.0,119230.0,,
11,DC,District of Columbia,19-3093,Historians,,**,**,**,**,40.58,84410.0,4.8,32.62,35.41,38.99,47.09,55.64,67840.0,73660.0,81100.0,97940.0,115740.0,,
11,DC,District of Columbia,19-3094,Political Scientists,,2670.0,4.2,4.183,118.953,57.71,120030.0,4.7,32.04,45.24,57.33,65.76,74.76,66640.0,94100.0,119240.0,136780.0,155490.0,,
11,DC,District of Columbia,19-3099,"Social Scientists and Related Workers, All Other",,2800.0,7.1,4.38,19.588,42.28,87950.0,2.1,24.83,31.44,40.79,50.86,62.39,51640.0,65380.0,84850.0,105790.0,129770.0,,
11,DC,District of Columbia,19-4021,Biological Technicians,,130.0,3.8,0.204,0.355,20.39,42420.0,7.1,11.96,16.23,18.21,24.83,29.21,24870.0,33760.0,37880.0,51640.0,60770.0,,
11,DC,District of Columbia,19-4031,Chemical Technicians,,60.0,14.8,0.099,0.212,20.59,42830.0,4.4,11.31,15.91,19.67,24.36,28.36,23520.0,33080.0,40920.0,50680.0,58990.0,,
11,DC,District of Columbia,19-4061,Social Science Research Assistants,,1520.0,23.1,2.378,11.7,23.34,48560.0,5.9,12.11,16.23,20.14,28.04,38.71,25190.0,33760.0,41890.0,58320.0,80510.0,,
11,DC,District of Columbia,19-4091,"Environmental Science and Protection Technicians, Including Health",,110.0,46.3,0.17,0.759,30.37,63180.0,10.2,14.94,22.0,29.42,36.89,42.0,31080.0,45760.0,61190.0,76730.0,87360.0,,
11,DC,District of Columbia,19-4099,"Life, Physical, and Social Science Technicians, All Other",,290.0,2.0,0.45,1.033,25.09,52180.0,1.8,14.64,16.38,22.98,27.23,44.84,30450.0,34080.0,47800.0,56640.0,93260.0,,
11,DC,District of Columbia,21-0000,Community and Social Service Occupations,major,10020.0,7.6,15.677,1.048,24.63,51230.0,4.9,11.62,15.93,22.14,31.59,40.56,24170.0,33120.0,46050.0,65700.0,84360.0,,
11,DC,District of Columbia,21-1011,Substance Abuse and Behavioral Disorder Counselors,,360.0,26.4,0.568,0.926,21.13,43950.0,5.4,14.12,16.48,19.94,24.13,31.15,29370.0,34280.0,41470.0,50180.0,64780.0,,
11,DC,District of Columbia,21-1012,"Educational, Guidance, School, and Vocational Counselors",,1410.0,33.5,2.206,1.136,25.62,53290.0,5.1,13.91,17.63,23.07,29.83,40.5,28920.0,36660.0,47970.0,62050.0,84250.0,,
11,DC,District of Columbia,21-1014,Mental Health Counselors,,360.0,16.9,0.568,0.655,21.48,44680.0,10.7,11.05,15.41,20.82,27.39,32.84,22980.0,32050.0,43300.0,56960.0,68300.0,,
11,DC,District of Columbia,21-1015,Rehabilitation Counselors,,690.0,26.3,1.074,1.224,16.52,34350.0,12.3,9.91,10.71,12.6,20.86,29.08,20620.0,22270.0,26210.0,43390.0,60480.0,,
11,DC,District of Columbia,21-1021,"Child, Family, and School Social Workers",,1780.0,12.1,2.786,1.282,24.84,51660.0,8.9,13.62,15.98,22.91,32.5,39.54,28340.0,33230.0,47650.0,67590.0,82230.0,,
11,DC,District of Columbia,21-1022,Healthcare Social Workers,,350.0,7.4,0.544,0.483,33.83,70370.0,2.8,22.04,27.14,33.5,39.41,46.47,45840.0,56460.0,69680.0,81980.0,96670.0,,
11,DC,District of Columbia,21-1023,Mental Health and Substance Abuse Social Workers,,780.0,12.1,1.214,1.286,25.7,53450.0,5.1,16.91,19.98,24.71,30.22,36.9,35170.0,41570.0,51410.0,62860.0,76740.0,,
