AREA,AREA_NAME,AREA_TYPE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,13-2098,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",detailed,7360,3.8,10.17,3.26,NA,51.2,106490,1.9,29.38,36.97,47.67,60.61,78.53,61120,76900,99160,126060,163350,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,15-0000,Computer and Mathematical Occupations,major,43810,2.4,60.557,1.95,NA,53.42,111100,1,30.87,39.72,53.05,65.74,77.39,64210,82630,110350,136730,160980,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,15-1211,Computer Systems Analysts,detailed,3560,7.6,4.914,1.23,NA,52.55,109300,1.7,32.83,40.39,51.56,63.73,76.53,68280,84010,107250,132550,159180,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,15-1212,Information Security Analysts,detailed,2020,13.9,2.798,3.27,NA,57.29,119160,3.9,33.15,43.07,57.09,71,83.02,68960,89580,118740,147670,172690,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,15-1221,Computer and Information Research Scientists,detailed,470,11.3,0.643,3.07,NA,62.66,130340,2.7,37.81,47.71,60.71,77.98,90.33,78650,99240,126280,162200,187880,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,15-1231,Computer Network Support Specialists,detailed,280,11.2,0.384,0.3,NA,40.42,84080,4.4,23.85,30.59,37.74,48.07,65.5,49600,63620,78500,99980,136240,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,15-1232,Computer User Support Specialists,detailed,3760,7.4,5.2,1.18,NA,34.48,71720,1.6,22.26,27.07,32.81,40.03,49.18,46310,56310,68240,83260,102290,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,15-1241,Computer Network Architects,detailed,1400,20.5,1.937,1.87,NA,61.36,127620,1.6,40.09,49.12,60.7,74.66,85.45,83380,102180,126250,155280,177750,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,15-1244,Network and Computer Systems Administrators,detailed,1780,8.1,2.466,1.02,NA,48.56,101000,1.5,32.6,38.75,47.63,58.04,68.25,67800,80600,99070,120720,141970,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,15-1245,Database Administrators and Architects,detailed,930,8,1.282,1.5,NA,49.85,103680,2.3,29.3,36.95,48.67,61.43,74.54,60950,76850,101230,127780,155040,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,15-1251,Computer Programmers,detailed,620,28.3,0.861,0.63,NA,56.42,117350,2.5,40.56,48.5,56.86,64.24,77.04,84360,100880,118270,133610,160250,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,15-1256,Software Developers and Software Quality Assurance Analysts and Testers,detailed,5880,5.4,8.122,0.85,NA,57.01,118580,1.4,36.91,44.92,56.31,68.92,79.28,76770,93430,117130,143360,164910,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,15-1257,Web Developers and Digital Interface Designers,detailed,1380,11.4,1.901,1.88,NA,41.01,85290,3.7,19.74,30.58,39.73,52.15,61.68,41060,63600,82640,108470,128290,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,15-1299,"Computer Occupations, All Other",detailed,**,**,**,**,NA,56.85,118250,2.5,33.98,44.44,57.21,67.95,78.68,70670,92430,119000,141340,163660,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,15-2011,Actuaries,detailed,160,8.5,0.216,1.42,NA,62.86,130750,2.9,46.63,52.84,60.61,71.62,78.95,96990,109910,126070,148960,164210,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,15-2021,Mathematicians,detailed,60,7.3,0.076,4.25,NA,64.51,134190,4.7,44.44,53.62,60.72,78.94,78.95,92430,111540,126290,164200,164220,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,15-2031,Operations Research Analysts,detailed,1110,6.6,1.534,2.26,NA,52.76,109740,6.4,27.94,37.91,51.23,64.8,78.94,58110,78840,106570,134780,164200,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,15-2041,Statisticians,detailed,1160,4.8,1.605,6.03,NA,50.46,104950,4.4,27.88,38.64,51.29,60.61,70.79,57990,80360,106680,126060,147240,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,17-0000,Architecture and Engineering Occupations,major,11780,3.2,16.287,0.92,NA,54,112320,5,31.44,39.33,52.1,68.04,78.95,65400,81800,108370,141530,164210,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,17-1011,"Architects, Except Landscape and Naval",detailed,1760,10.5,2.439,3.38,NA,50.66,105380,2.8,31.78,37.19,46.84,59.06,74.07,66100,77360,97420,122840,154060,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,17-1022,Surveyors,detailed,100,32.4,0.137,0.44,NA,*,*,*,*,*,*,*,*,*,*,*,*,*,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,17-2011,Aerospace Engineers,detailed,330,6.6,0.46,1.07,NA,67.65,140710,2.1,46.84,58.96,71.52,78.94,82.76,97430,122630,148770,164200,172130,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,17-2031,Bioengineers and Biomedical Engineers,detailed,70,8.7,0.096,0.71,NA,40.74,84740,3.4,26.82,32.61,40.05,48.17,57.34,55790,67820,83300,100190,119280,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,17-2041,Chemical Engineers,detailed,80,3,0.115,0.56,NA,54.67,113720,2.4,32.71,46.62,59.06,60.72,71.61,68040,96970,122840,126290,148960,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,17-2051,Civil Engineers,detailed,1420,14.4,1.969,0.93,NA,48.92,101750,2.5,32.45,37.7,46.75,58.45,71.99,67490,78410,97250,121580,149740,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,17-2061,Computer Hardware Engineers,detailed,420,8.5,0.577,1.25,NA,61.72,128370,11.9,30.58,38.88,52.75,81.09,99.32,63610,80880,109720,168660,206580,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,17-2071,Electrical Engineers,detailed,590,12.2,0.818,0.65,NA,58.81,122330,2.1,39.95,47.36,58.45,69.7,78.95,83090,98510,121580,144970,164210,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,17-2072,"Electronics Engineers, Except Computer",detailed,480,1.6,0.66,0.75,NA,62.72,130460,2.4,44.72,54.02,60.71,78.54,78.95,93010,112360,126290,163360,164210,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,17-2081,Environmental Engineers,detailed,320,18.2,0.444,1.23,NA,48.52,100910,1.9,32.32,39.22,49.72,57.49,60.77,67230,81570,103420,119580,126400,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,180,15.9,0.245,1.39,NA,58.74,122170,3.7,37.16,46.32,57.14,71.88,87.4,77300,96350,118850,149510,181800,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,17-2112,Industrial Engineers,detailed,120,13.6,0.164,0.08,NA,47.01,97780,2.5,33.23,38.97,44.72,53.36,65.68,69110,81060,93010,110990,136620,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,17-2121,Marine Engineers and Naval Architects,detailed,500,26.8,0.687,8.88,NA,55.69,115840,10.1,31.52,39.49,57.43,71.62,78.95,65560,82150,119460,148970,164210,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,17-2141,Mechanical Engineers,detailed,580,7.9,0.802,0.38,NA,53.96,112240,2.9,35.56,43.13,52.79,64.11,78.94,73960,89710,109790,133340,164200,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,17-2161,Nuclear Engineers,detailed,110,2.1,0.15,1.39,NA,*,*,*,*,*,*,*,*,*,*,*,*,*,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,17-2199,"Engineers, All Other",detailed,2540,1.8,3.513,3.39,NA,65.7,136660,2.6,46.47,57.55,69.12,78.93,79,96650,119700,143770,164180,164330,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,17-3011,Architectural and Civil Drafters,detailed,770,29.5,1.058,1.57,NA,35.15,73110,3.8,22.25,26.77,33.03,42.22,49.29,46290,55690,68700,87820,102530,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,17-3012,Electrical and Electronics Drafters,detailed,**,**,**,**,NA,46.33,96370,3.9,34.53,40.56,46.39,53.96,59.98,71810,84370,96500,112240,124760,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,17-3013,Mechanical Drafters,detailed,**,**,**,**,NA,23.85,49620,6.9,16.78,18.48,21.64,25.15,37.09,34900,38440,45010,52310,77150,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,17-3021,Aerospace Engineering and Operations Technologists and Technicians,detailed,**,**,**,**,NA,31.93,66400,5.3,26.17,29.18,32.52,35.52,37.33,54430,60700,67640,73890,77640,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,17-3022,Civil Engineering Technologists and Technicians,detailed,170,0.2,0.229,0.49,NA,41.26,85830,2.2,32.25,35.8,41.06,46.75,51.59,67080,74460,85400,97240,107300,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,17-3023,Electrical and Electronic Engineering Technologists and Technicians,detailed,340,22.1,0.473,0.57,NA,39.3,81740,4.6,28.75,33.23,37.19,47.04,52.83,59790,69120,77360,97850,109890,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,17-3098,"Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters, All Other",detailed,330,3.6,0.458,0.76,NA,44.69,92950,3.4,33.34,39.3,45.74,50.96,53.32,69350,81740,95140,106000,110900,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,19-0000,"Life, Physical, and Social Science Occupations",major,24560,3.4,33.948,3.87,NA,53.06,110360,3.7,24.49,33.96,49.73,67.38,78.95,50940,70630,103430,140140,164220,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,19-1012,Food Scientists and Technologists,detailed,50,46.8,0.073,0.8,NA,48.46,100790,2,32.71,39.2,48.8,58.88,64.18,68030,81540,101510,122480,133480,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,19-1013,Soil and Plant Scientists,detailed,60,0,0.077,0.8,NA,43.39,90260,2.2,27.94,32.7,40.34,48.35,71.29,58110,68020,83910,100570,148280,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,19-1021,Biochemists and Biophysicists,detailed,**,**,**,**,NA,51.22,106530,3,33.99,41,48.7,61.33,74.96,70690,85270,101300,127580,155910,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,19-1022,Microbiologists,detailed,60,29,0.079,0.63,NA,43.66,90800,17.4,15.31,28.52,38.04,59.06,77.76,31840,59320,79130,122840,161740,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,19-1023,Zoologists and Wildlife Biologists,detailed,80,6.4,0.116,0.89,NA,51.81,107770,7.6,33.81,42.52,51.28,59.06,78.94,70320,88440,106670,122840,164200,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,19-1029,"Biological Scientists, All Other",detailed,510,4.3,0.71,2.6,NA,52.06,108280,4.9,22.33,29.87,42.55,68.52,91.15,46440,62140,88490,142520,189600,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,19-1031,Conservation Scientists,detailed,150,25.1,0.203,1.35,NA,45.03,93670,11.6,13.36,27.88,45.25,62.44,73.13,27780,57990,94110,129870,152100,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,19-1032,Foresters,detailed,30,9.2,0.046,0.72,NA,44.68,92930,10.3,25.66,29.2,39.21,49.1,91.15,53380,60740,81550,102120,189590,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,19-1041,Epidemiologists,detailed,30,0.5,0.045,0.9,NA,48.05,99940,1.8,34.18,39.24,47.28,56.34,61.85,71090,81620,98340,117190,128650,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,19-1042,"Medical Scientists, Except Epidemiologists",detailed,530,12.4,0.736,0.85,NA,50.64,105330,6.4,21.24,26.13,42.18,68.05,90.06,44180,54350,87730,141540,187320,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,19-2011,Astronomers,detailed,60,1.6,0.084,5.94,NA,59.41,123580,4.7,41.82,45.74,60.6,73.45,78.95,86980,95140,126060,152780,164210,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,19-2012,Physicists,detailed,750,13.5,1.03,9.04,NA,69.43,144420,6,40.46,54.61,66.29,78.94,89.79,84160,113580,137890,164200,186770,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,19-2021,Atmospheric and Space Scientists,detailed,40,29.3,0.054,0.86,NA,65.8,136860,7.5,23.06,42.9,66.1,79.82,#,47960,89230,137490,166030,#,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,19-2031,Chemists,detailed,260,1.9,0.363,0.64,NA,58.82,122360,2.5,39.2,49.32,60.6,71.61,78.95,81540,102600,126050,148950,164210,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,19-2041,"Environmental Scientists and Specialists, Including Health",detailed,1790,15.6,2.468,4.3,NA,54.1,112540,5.3,32.17,43.14,55.09,66.1,77.77,66910,89730,114590,137490,161760,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,19-2099,"Physical Scientists, All Other",detailed,740,7.5,1.023,8.56,NA,65.69,136640,2.3,44.57,54.39,67.83,78.94,82.88,92700,113130,141090,164200,172390,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,19-3011,Economists,detailed,6480,10.6,8.955,69.23,NA,65.2,135620,2.3,33.42,44.35,60.6,78.94,#,69510,92260,126050,164200,#,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,19-3022,Survey Researchers,detailed,200,27.4,0.28,4.14,NA,37.62,78250,8.2,19.12,23.08,34.09,48.61,62.61,39770,48000,70910,101110,130240,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,19-3031,"Clinical, Counseling, and School Psychologists",detailed,720,11.7,0.997,1.29,NA,51.4,106900,9,26.95,32.51,43.54,57.13,93.81,56050,67620,90570,118820,195120,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,19-3039,"Psychologists, All Other",detailed,220,11.2,0.31,3.2,NA,47.37,98530,4.7,22.36,37.24,46.63,55.63,62.05,46520,77450,96990,115700,129070,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,19-3051,Urban and Regional Planners,detailed,200,14.4,0.279,1.06,NA,52.58,109370,3.4,30.85,43.48,52.45,61.99,71.61,64180,90440,109100,128930,148950,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,19-3093,Historians,detailed,200,0.4,0.282,13.63,NA,52.81,109850,2.4,35.99,47.04,52.83,60.6,66.11,74860,97840,109900,126050,137500,,
