PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC.QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,YEAR,OCC_GROUP,AREA_TYPE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,O_GROUP,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9033,"Education Administrators, Postsecondary",NA,1020.0,5.6,0.743,0.84,48.49,100860.0,9.3,27.37,33.3,41.63,54.97,81.3,56920.0,69270.0,86580.0,114340.0,169100.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9039,"Education Administrators, All Other",NA,370.0,25.7,0.271,1.24,31.4,65310.0,6.5,18.98,20.95,27.49,40.55,49.84,39470.0,43580.0,57180.0,84340.0,103670.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9041,Architectural and Engineering Managers,NA,3740.0,3.6,2.733,1.9,64.15,133430.0,1.8,45.75,52.97,63.11,72.57,86.24,95150.0,110170.0,131270.0,150950.0,179380.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9051,Food Service Managers,NA,**,**,**,**,36.25,75400.0,6.9,19.18,26.95,39.76,43.82,46.27,39900.0,56060.0,82710.0,91150.0,96250.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9071,Gaming Managers,NA,60.0,6.2,0.041,1.48,37.19,77350.0,7.6,23.65,27.49,35.99,45.0,56.48,49200.0,57190.0,74870.0,93600.0,117470.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9081,Lodging Managers,NA,190.0,31.1,0.139,0.6,34.55,71860.0,5.6,20.72,26.38,33.11,40.88,51.5,43100.0,54870.0,68880.0,85030.0,107130.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9111,Medical and Health Services Managers,NA,**,**,**,**,55.32,115070.0,3.3,33.0,40.47,50.37,62.79,85.67,68650.0,84180.0,104770.0,130610.0,178200.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9121,Natural Sciences Managers,NA,900.0,7.5,0.657,1.77,63.99,133100.0,2.8,39.3,47.35,59.19,74.42,#,81750.0,98490.0,123110.0,154790.0,#,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9131,Postmasters and Mail Superintendents,NA,50.0,0.0,0.033,0.17,38.78,80660.0,2.1,27.31,32.43,38.83,46.37,51.32,56810.0,67460.0,80760.0,96460.0,106750.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9141,"Property, Real Estate, and Community Association Managers",NA,2540.0,8.8,1.857,1.56,35.2,73210.0,5.5,17.6,23.62,29.27,43.38,58.91,36600.0,49140.0,60890.0,90230.0,122520.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9151,Social and Community Service Managers,NA,1100.0,6.7,0.802,0.89,37.16,77290.0,2.7,24.4,28.17,34.19,42.91,56.76,50750.0,58590.0,71120.0,89240.0,118060.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9161,Emergency Management Directors,NA,70.0,8.5,0.053,0.62,38.52,80120.0,3.0,25.28,31.16,38.21,44.48,53.65,52580.0,64810.0,79470.0,92530.0,111590.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9199,"Managers, All Other",NA,4640.0,4.2,3.389,1.27,52.22,108610.0,1.7,31.25,40.87,51.04,61.95,73.79,65000.0,85010.0,106160.0,128860.0,153490.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",13-0000,Business and Financial Operations Occupations,major,92930.0,1.7,67.851,1.41,36.04,74970.0,3.7,20.38,25.8,33.56,43.68,55.32,42390.0,53670.0,69810.0,90860.0,115060.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",13-1021,"Buyers and Purchasing Agents, Farm Products",NA,130.0,26.4,0.092,1.16,27.04,56230.0,4.2,17.16,21.96,26.73,32.06,36.6,35700.0,45670.0,55610.0,66690.0,76120.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",13-1022,"Wholesale and Retail Buyers, Except Farm Products",NA,2050.0,10.1,1.494,1.81,33.53,69730.0,7.0,17.96,21.57,26.59,35.6,54.94,37350.0,44860.0,55300.0,74040.0,114270.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",NA,5550.0,3.2,4.049,1.89,34.25,71250.0,2.7,21.3,26.65,33.96,42.0,48.97,44310.0,55430.0,70640.0,87350.0,101850.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",13-1031,"Claims Adjusters, Examiners, and Investigators",NA,3680.0,10.1,2.689,1.31,31.04,64570.0,2.5,20.56,24.37,29.45,35.43,43.54,42770.0,50680.0,61250.0,73700.0,90560.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",13-1041,Compliance Officers,NA,2720.0,4.9,1.989,1.21,32.47,67530.0,2.3,20.18,24.34,30.95,38.34,47.57,41980.0,50640.0,64370.0,79740.0,98950.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",13-1051,Cost Estimators,NA,2520.0,9.0,1.842,1.26,33.45,69570.0,2.2,20.79,25.58,32.44,40.15,48.72,43240.0,53210.0,67480.0,83520.0,101330.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",13-1078,"Human Resources, Training, and Labor Relations Specialists, All Other*",NA,6530.0,4.3,4.766,1.4,32.63,67870.0,3.4,17.64,22.9,29.96,40.17,51.2,36690.0,47620.0,62320.0,83550.0,106500.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",13-1081,Logisticians,NA,5430.0,2.6,3.963,4.53,39.92,83040.0,5.6,26.45,31.41,37.84,45.21,57.43,55010.0,65330.0,78700.0,94040.0,119450.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",13-1111,Management Analysts,NA,8450.0,4.6,6.173,1.47,44.44,92430.0,5.3,26.03,31.78,41.47,53.76,68.41,54130.0,66100.0,86250.0,111830.0,142280.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",13-1121,"Meeting, Convention, and Event Planners*",NA,780.0,12.9,0.573,1.15,22.69,47200.0,2.5,14.93,18.38,21.34,26.42,33.21,31040.0,38240.0,44390.0,54950.0,69070.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",13-1141,"Compensation, Benefits, and Job Analysis Specialists",NA,1100.0,10.0,0.805,1.09,33.78,70260.0,2.5,21.0,25.14,31.71,41.23,51.63,43690.0,52300.0,65950.0,85750.0,107400.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",13-1151,Training and Development Specialists,NA,2390.0,5.0,1.747,1.09,36.4,75710.0,3.1,21.71,28.5,36.33,43.78,52.57,45170.0,59290.0,75570.0,91070.0,109340.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",13-1161,Market Research Analysts and Marketing Specialists*,NA,7950.0,4.5,5.801,2.34,40.13,83460.0,8.8,18.53,26.53,39.35,52.94,64.62,38550.0,55190.0,81860.0,110120.0,134410.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",13-1199,"Business Operations Specialists, All Other*",NA,15280.0,3.5,11.156,1.48,35.02,72850.0,3.4,20.62,25.85,33.37,43.05,53.53,42890.0,53760.0,69410.0,89540.0,111340.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",13-2011,Accountants and Auditors,NA,12860.0,4.0,9.387,1.11,33.93,70570.0,1.4,21.65,25.64,31.69,40.19,49.46,45030.0,53340.0,65920.0,83590.0,102880.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",13-2021,Appraisers and Assessors of Real Estate,NA,450.0,22.3,0.329,0.69,33.21,69090.0,8.3,19.46,23.95,32.72,42.82,49.8,40480.0,49810.0,68050.0,89070.0,103580.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",13-2041,Credit Analysts,NA,760.0,16.4,0.554,1.2,33.28,69220.0,2.5,20.78,24.87,30.76,38.47,49.16,43230.0,51730.0,63980.0,80020.0,102240.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",13-2051,Financial Analysts,NA,3080.0,5.6,2.251,1.28,43.09,89620.0,3.8,25.43,31.85,40.33,50.65,63.9,52890.0,66240.0,83880.0,105350.0,132920.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",13-2052,Personal Financial Advisors,NA,2110.0,15.4,1.537,1.22,34.6,71970.0,6.5,16.7,20.73,28.76,41.81,61.82,34730.0,43130.0,59830.0,86950.0,128580.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",13-2053,Insurance Underwriters,NA,1180.0,23.8,0.862,1.19,41.26,85820.0,3.1,26.11,31.69,39.08,48.54,62.51,54300.0,65920.0,81290.0,100960.0,130020.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",13-2061,Financial Examiners,NA,270.0,9.2,0.198,0.91,38.71,80530.0,6.9,23.41,26.49,35.59,47.35,59.25,48680.0,55100.0,74040.0,98490.0,123240.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",13-2071,Credit Counselors,NA,320.0,40.0,0.234,1.02,18.83,39160.0,2.9,15.04,16.17,18.04,21.12,24.19,31270.0,33630.0,37530.0,43930.0,50310.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",13-2072,Loan Officers,NA,2890.0,9.0,2.107,0.95,40.61,84470.0,6.7,17.53,24.83,33.49,46.11,67.28,36460.0,51650.0,69650.0,95920.0,139940.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",13-2082,Tax Preparers,NA,630.0,27.9,0.459,0.99,19.43,40410.0,16.6,10.72,12.42,14.56,20.58,31.83,22310.0,25830.0,30280.0,42810.0,66200.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",13-2099,"Financial Specialists, All Other",NA,1640.0,8.7,1.197,1.01,28.37,59010.0,3.9,18.97,21.23,26.1,33.51,42.98,39460.0,44160.0,54290.0,69690.0,89390.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",15-0000,Computer and Mathematical Occupations,major,95880.0,1.6,70.006,2.64,43.63,90750.0,4.0,25.05,34.41,43.36,53.21,63.34,52110.0,71570.0,90190.0,110680.0,131740.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",15-1111,Computer and Information Research Scientists,NA,510.0,19.4,0.371,1.89,54.72,113820.0,5.0,34.87,44.86,54.4,66.14,77.02,72530.0,93320.0,113150.0,137570.0,160200.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",15-1121,Computer Systems Analysts,NA,10030.0,10.0,7.322,1.93,43.29,90040.0,2.0,30.47,35.73,42.3,50.34,57.89,63380.0,74320.0,87990.0,104710.0,120410.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",15-1131,Computer Programmers,NA,9290.0,3.7,6.781,2.72,45.55,94740.0,2.6,30.35,38.18,45.2,53.71,61.82,63130.0,79410.0,94010.0,111710.0,128590.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",15-1132,"Software Developers, Applications",NA,29780.0,2.4,21.74,5.17,47.81,99430.0,2.3,32.04,39.5,47.67,55.98,66.39,66640.0,82160.0,99160.0,116440.0,138090.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",15-1133,"Software Developers, Systems Software",NA,13650.0,2.9,9.964,3.3,49.61,103190.0,2.1,36.97,40.48,46.47,56.36,69.73,76900.0,84210.0,96660.0,117230.0,145050.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",15-1141,Database Administrators,NA,2080.0,4.1,1.517,1.79,42.09,87540.0,1.7,26.17,33.04,41.7,51.16,57.59,54430.0,68720.0,86730.0,106410.0,119780.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",15-1142,Network and Computer Systems Administrators*,NA,5320.0,5.7,3.882,1.46,37.48,77950.0,1.2,24.44,30.2,36.67,44.18,53.22,50830.0,62810.0,76270.0,91890.0,110690.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",15-1150,Computer Support Specialists,NA,10670.0,5.4,7.792,1.58,28.14,58530.0,5.9,16.25,20.25,25.77,33.18,45.13,33800.0,42110.0,53590.0,69010.0,93870.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",15-1179,"Information Security Analysts, Web Developers, and Computer Network Architects",NA,7910.0,4.3,5.776,2.72,42.28,87940.0,2.0,26.57,33.58,41.84,51.11,57.97,55260.0,69840.0,87020.0,106310.0,120580.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",15-1799,"Computer Occupations, All Other*",NA,4380.0,7.0,3.197,2.31,41.22,85730.0,9.8,14.53,27.34,43.69,55.91,65.59,30220.0,56870.0,90880.0,116290.0,136420.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",15-2011,Actuaries,NA,310.0,9.5,0.224,1.47,51.32,106750.0,5.3,26.74,32.73,44.29,63.11,86.04,55620.0,68080.0,92120.0,131260.0,178960.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",15-2021,Mathematicians,NA,40.0,8.7,0.026,1.13,44.26,92070.0,4.5,24.2,31.06,39.87,61.97,68.28,50330.0,64610.0,82930.0,128900.0,142010.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",15-2031,Operations Research Analysts,NA,1490.0,3.6,1.089,2.15,42.22,87830.0,3.8,29.21,34.57,40.94,47.47,56.61,60750.0,71900.0,85150.0,98740.0,117760.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",15-2041,Statisticians,NA,420.0,12.0,0.308,1.66,36.19,75270.0,2.6,23.26,26.7,36.49,44.51,52.46,48390.0,55530.0,75900.0,92580.0,109120.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",17-0000,Architecture and Engineering Occupations,major,48010.0,3.0,35.054,1.95,40.6,84450.0,1.4,24.28,31.11,39.52,49.59,59.58,50490.0,64710.0,82200.0,103140.0,123920.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",17-1011,"Architects, Except Landscape and Naval",NA,2270.0,9.9,1.658,2.54,33.5,69670.0,5.9,20.41,23.04,30.79,38.02,50.44,42450.0,47930.0,64050.0,79090.0,104920.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",17-1012,Landscape Architects,NA,550.0,26.7,0.398,3.24,29.33,61010.0,2.9,19.98,22.46,28.27,35.54,42.06,41550.0,46720.0,58790.0,73930.0,87490.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",17-1021,Cartographers and Photogrammetrists,NA,150.0,10.2,0.107,1.22,36.39,75690.0,2.6,24.5,30.87,37.58,42.74,45.8,50950.0,64200.0,78170.0,88890.0,95250.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",17-1022,Surveyors,NA,350.0,21.1,0.255,0.78,33.46,69600.0,3.0,25.23,28.24,32.44,37.08,44.37,52480.0,58740.0,67480.0,77120.0,92280.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",17-2011,Aerospace Engineers,NA,7320.0,6.1,5.346,8.64,48.67,101220.0,2.0,33.97,39.64,47.78,57.25,67.44,70660.0,82460.0,99380.0,119070.0,140280.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
