AREA,AREA_NAME,AREA_TYPE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,11-9131,Postmasters and Mail Superintendents,detailed,60,0,0.029,0.31,NA,40.03,83260,1.9,32.27,35.01,39.54,43.85,49.97,67120,72820,82230,91210,103940,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,11-9141,"Property, Real Estate, and Community Association Managers",detailed,1880,8.6,0.929,0.62,NA,47.86,99540,5.1,26.23,30.35,40.97,57.66,77.68,54550,63140,85220,119940,161570,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,11-9151,Social and Community Service Managers,detailed,1850,12.6,0.914,0.86,NA,37.46,77910,2.9,24.63,28.17,35.66,45.54,54.34,51230,58600,74170,94720,113030,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,11-9161,Emergency Management Directors,detailed,100,16.2,0.047,0.69,NA,55.34,115100,2.8,36.21,45.87,55.43,68.03,77.98,75310,95410,115290,141500,162200,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",detailed,8270,4.6,4.093,1.27,NA,64.39,133940,1.8,32.09,44.23,58.71,78.64,#,66740,92000,122110,163580,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,13-0000,Business and Financial Operations Occupations,major,164710,2.8,81.504,1.46,NA,42.51,88430,2.2,22.38,28.9,38.37,52.67,69.26,46540,60110,79800,109560,144060,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,80,17.7,0.039,0.34,NA,51.98,108110,22,22.35,30.54,38.23,57.89,99.76,46480,63530,79520,120400,207500,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,13-1020,Buyers and Purchasing Agents,detailed,11170,11.4,5.525,1.93,NA,37.39,77780,1.9,21.73,27.15,35.39,46.16,58.05,45190,56480,73600,96000,120750,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,3530,7,1.747,0.89,NA,38.02,79080,1.6,23.82,29.06,36.74,44.63,52.75,49540,60450,76410,92840,109710,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,13-1032,"Insurance Appraisers, Auto Damage",detailed,260,20.3,0.126,1.35,NA,34.09,70900,4.7,23.29,27.31,32.21,40.28,47.4,48450,56790,66990,83770,98600,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,13-1051,Cost Estimators,detailed,3450,6.1,1.707,1.19,NA,39.5,82160,2.2,22.26,28.08,37.27,49.24,60.45,46300,58400,77520,102420,125740,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,13-1071,Human Resources Specialists,detailed,12160,4.4,6.018,1.4,NA,39.37,81880,2.4,21.58,27.35,36.25,48.74,62.96,44900,56880,75390,101370,130950,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,13-1075,Labor Relations Specialists,detailed,1750,9.3,0.867,1.68,NA,38.75,80600,5.4,19.85,27.84,40.29,48.23,57.39,41290,57900,83810,100320,119380,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,13-1081,Logisticians,detailed,5520,5.1,2.734,2.21,NA,44,91520,2.3,27.45,34.84,43.71,53.6,62.58,57100,72470,90930,111490,130170,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,13-1111,Management Analysts,detailed,18280,6.8,9.046,1.87,NA,52.85,109940,2.8,28.7,35.71,48.69,64.92,84.38,59690,74270,101270,135020,175510,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,13-1121,"Meeting, Convention, and Event Planners",detailed,2450,9.4,1.213,1.52,NA,33.34,69340,6.6,16.53,20.38,28.56,39.44,66.41,34390,42400,59410,82040,138140,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,13-1131,Fundraisers,detailed,1910,10.1,0.945,1.7,NA,32.01,66580,3.5,19.69,24.21,29.37,37.31,47.39,40960,50350,61090,77600,98570,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,1260,6.8,0.624,1.03,NA,41.52,86360,2.9,25.68,31.21,38.05,50.87,64.89,53410,64910,79140,105820,134960,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,13-1151,Training and Development Specialists,detailed,5410,7.3,2.676,1.26,NA,38.97,81060,2.2,22.1,30.58,37.95,47.14,58.88,45980,63600,78940,98050,122470,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,13-1161,Market Research Analysts and Marketing Specialists,detailed,18790,10.5,9.298,2.01,NA,45.39,94410,4.6,20.84,27.9,40.95,63.49,75.96,43350,58040,85170,132070,158010,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,13-1198,"Project Management Specialists and Business Operations Specialists, All Other",detailed,31590,2.2,15.632,1.79,NA,41.85,87040,3.2,22.41,28.57,37.99,53.08,69.32,46610,59410,79030,110400,144190,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,13-2011,Accountants and Auditors,detailed,22640,3.9,11.205,1.29,NA,41.55,86420,2.7,24.9,29.46,37.06,48.18,62.1,51790,61270,77080,100220,129170,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,13-2020,Property Appraisers and Assessors,detailed,960,43.8,0.476,1.24,NA,41.31,85930,12.2,26.11,31.34,37.29,46.9,69.34,54300,65190,77550,97550,144220,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,13-2031,Budget Analysts,detailed,560,6.8,0.278,0.79,NA,38.17,79390,3,26.75,30.59,37.1,44.97,50.81,55630,63630,77170,93540,105690,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,13-2041,Credit Analysts,detailed,1160,15.3,0.573,1.14,NA,39.83,82850,3.3,24.02,28.65,36.99,47.3,59.6,49970,59600,76940,98390,123960,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,13-2052,Personal Financial Advisors,detailed,2880,8.3,1.423,0.99,NA,55.39,115210,7.3,22.21,28.71,51.42,61.08,#,46190,59720,106950,127050,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,13-2053,Insurance Underwriters,detailed,1120,16.5,0.556,0.82,NA,41.52,86370,1.9,25.55,32.28,38.59,49.45,61.55,53130,67150,80270,102860,128010,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,13-2061,Financial Examiners,detailed,410,19.9,0.201,0.46,NA,53.29,110850,6.3,29.75,37.5,51.97,68.81,77.5,61890,78010,108090,143120,161200,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,13-2071,Credit Counselors,detailed,230,17.9,0.112,0.51,NA,26.99,56140,2.4,17.52,21.48,25.64,31.48,38.84,36440,44680,53330,65490,80800,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,13-2072,Loan Officers,detailed,3900,10.3,1.93,0.92,NA,35.52,73880,3.9,15.38,22.22,29.94,41.73,62.13,32000,46210,62270,86800,129230,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,380,0.9,0.186,0.51,NA,36.51,75940,1.6,24.41,28.31,32.82,44.63,54.58,50780,58880,68270,92840,113530,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,13-2082,Tax Preparers,detailed,580,26.3,0.287,0.63,NA,27.68,57570,13.8,12.71,14.86,26.83,34.87,44.23,26440,30910,55820,72520,92000,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,13-2098,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",detailed,6860,3.4,3.392,1.09,NA,47.57,98940,4.6,25.31,32.97,44.57,62.86,73.79,52650,68570,92700,130750,153480,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,15-0000,Computer and Mathematical Occupations,major,147800,2.8,73.137,2.36,NA,58.36,121380,6.4,29.33,41.53,59.3,72.73,84.45,61010,86390,123340,151290,175650,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,15-1211,Computer Systems Analysts,detailed,12590,6.9,6.232,1.55,NA,51.29,106690,1.4,32.97,40.34,50.53,61.81,74,68570,83900,105090,128570,153930,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,15-1212,Information Security Analysts,detailed,2480,15,1.225,1.43,NA,53.55,111390,2.6,33.25,40.99,51.87,66.16,77.21,69160,85250,107890,137610,160600,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,15-1221,Computer and Information Research Scientists,detailed,1750,4.6,0.867,4.14,NA,67.25,139880,4.9,38.85,63.02,69.19,75.46,82.3,80820,131080,143920,156950,171180,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,15-1231,Computer Network Support Specialists,detailed,2610,7.7,1.292,1.02,NA,43.29,90050,3.1,25.05,31.41,39.93,53.35,67.93,52100,65320,83060,110960,141290,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,15-1232,Computer User Support Specialists,detailed,13130,6.4,6.497,1.47,NA,31.68,65890,5.2,18.56,23.87,28.52,35.15,45.86,38610,49640,59320,73120,95380,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,15-1241,Computer Network Architects,detailed,3030,7.2,1.499,1.44,NA,63.37,131820,1.4,37.66,51.99,63.63,76.35,89.48,78330,108140,132340,158810,186130,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,15-1244,Network and Computer Systems Administrators,detailed,5940,5.6,2.937,1.22,NA,47.67,99160,1.8,31.33,37,46.19,58.2,70.61,65160,76960,96070,121050,146860,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,15-1245,Database Administrators and Architects,detailed,2230,7.4,1.102,1.29,NA,55.27,114960,1.4,33.98,43.97,56.41,67.36,76.91,70680,91450,117330,140110,159960,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,15-1251,Computer Programmers,detailed,5040,6.6,2.492,1.83,NA,*,*,*,*,*,*,*,*,*,*,*,*,*,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,15-1256,Software Developers and Software Quality Assurance Analysts and Testers,detailed,71940,4.4,35.599,3.72,NA,64.47,134090,4.5,39.97,52.91,66,74.83,84.43,83140,110060,137270,155640,175620,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,15-1257,Web Developers and Digital Interface Designers,detailed,12510,3.2,6.192,6.13,NA,66.64,138600,7.3,33.87,50.74,70.88,86.83,95,70440,105530,147430,180610,197600,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,15-1299,"Computer Occupations, All Other",detailed,**,**,**,**,NA,46.88,97500,2.2,24.82,33.24,45.13,59.96,74.02,51630,69140,93870,124710,153970,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,15-2011,Actuaries,detailed,380,19,0.189,1.25,NA,64.5,134160,3.5,36.53,47.13,63.73,78.21,95.36,75980,98030,132560,162690,198350,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,15-2021,Mathematicians,detailed,**,**,**,**,NA,69,143520,7.7,32.66,50.15,71,88.04,#,67940,104310,147690,183120,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,15-2031,Operations Research Analysts,detailed,2180,17.4,1.081,1.59,NA,49.59,103140,3.6,32.75,38.63,47.2,57.14,64.94,68110,80350,98170,118860,135080,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,15-2041,Statisticians,detailed,1080,12.9,0.533,2,NA,51.09,106280,2.1,33.64,40.76,48.71,59.6,72.2,69970,84780,101310,123980,150170,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",detailed,1050,14,0.519,2.47,NA,56.93,118410,4.3,27.82,39.99,56.81,70.82,82.19,57870,83180,118170,147310,170950,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,17-0000,Architecture and Engineering Occupations,major,52570,1.7,26.011,1.47,NA,50.54,105120,2.7,28.18,36,47.8,62.16,78.09,58620,74870,99420,129290,162420,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,17-1011,"Architects, Except Landscape and Naval",detailed,3570,8.1,1.765,2.45,NA,40.37,83960,2.8,26.44,30.49,37.73,47.3,59.41,55000,63430,78480,98380,123580,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,17-1012,Landscape Architects,detailed,560,25.3,0.278,2.01,NA,36.82,76580,4.4,23.91,28.47,35.27,43.07,55.42,49740,59230,73360,89580,115280,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,17-1021,Cartographers and Photogrammetrists,detailed,200,14.8,0.099,1.29,NA,43.43,90340,3.7,31.76,35.67,42.09,49.73,59.36,66060,74190,87540,103450,123470,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,17-1022,Surveyors,detailed,490,25.8,0.24,0.78,NA,46.52,96760,6.8,32.21,37.82,44.31,50.32,62.2,67010,78670,92150,104660,129380,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,17-2031,Bioengineers and Biomedical Engineers,detailed,550,26.6,0.271,2.01,NA,45.66,94980,5.3,28.33,33.78,40.77,53.54,75.44,58920,70270,84800,111360,156910,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,17-2041,Chemical Engineers,detailed,80,18.2,0.042,0.2,NA,41.66,86660,8.2,25.87,31.73,38.88,52.71,61.16,53820,65990,80880,109640,127220,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,17-2051,Civil Engineers,detailed,6870,7.8,3.397,1.61,NA,46.46,96640,2,29.61,35.76,43.96,54.78,64.41,61590,74380,91440,113950,133960,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,17-2061,Computer Hardware Engineers,detailed,1550,4.7,0.766,1.66,NA,*,*,*,*,*,*,*,*,*,*,*,*,*,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,17-2071,Electrical Engineers,detailed,4370,4.9,2.16,1.71,NA,57.2,118970,3.3,32.91,42.83,56.04,70.55,83.42,68450,89090,116560,146730,173520,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,17-2072,"Electronics Engineers, Except Computer",detailed,2390,7.5,1.184,1.35,NA,60.25,125330,1.9,38.82,48.12,59.43,72.8,85.39,80750,100100,123620,151430,177610,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,17-2081,Environmental Engineers,detailed,970,18.2,0.479,1.32,NA,52.53,109270,3.1,30.7,41.59,51.62,63.23,75.52,63850,86500,107360,131520,157090,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,210,19,0.103,0.58,NA,48.49,100850,2.5,31.38,40.75,48.79,57.54,63.17,65270,84750,101480,119680,131390,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,17-2112,Industrial Engineers,detailed,5860,3.2,2.9,1.46,NA,54.66,113690,2.2,34.19,42.72,54.08,65.76,78.6,71110,88860,112480,136780,163490,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,17-2121,Marine Engineers and Naval Architects,detailed,250,40,0.126,1.62,NA,48.26,100370,3.2,33.7,37.96,45.92,56.47,70.2,70090,78950,95520,117460,146010,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,17-2141,Mechanical Engineers,detailed,4630,6.3,2.289,1.1,NA,50.14,104290,3,29.72,35.83,46.84,60.15,76.01,61820,74520,97420,125120,158100,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,17-2199,"Engineers, All Other",detailed,2060,7.8,1.02,0.98,NA,52.93,110100,3.5,28.5,36.07,52.81,66.69,78.98,59290,75030,109840,138710,164280,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,17-3011,Architectural and Civil Drafters,detailed,1330,14.1,0.657,0.98,NA,30.7,63850,2.5,20.92,25.08,29.57,36.26,42.83,43510,52160,61510,75410,89090,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,17-3012,Electrical and Electronics Drafters,detailed,660,11.8,0.328,1.99,NA,44.52,92590,8,23.52,33.04,45.36,57.07,63.64,48930,68720,94360,118710,132370,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,17-3013,Mechanical Drafters,detailed,1680,5.5,0.83,2.21,NA,42.58,88560,5.8,25.36,32.49,42.99,52.27,61.3,52740,67580,89420,108730,127500,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,17-3019,"Drafters, All Other",detailed,**,**,**,**,NA,24.63,51230,15.7,15.47,16.6,18.46,30.52,37.05,32190,34520,38400,63480,77060,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,17-3021,Aerospace Engineering and Operations Technologists and Technicians,detailed,400,15.6,0.198,2.51,NA,47.1,97970,14.2,23.22,31.79,44.67,55.49,76.59,48300,66130,92920,115420,159300,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,17-3022,Civil Engineering Technologists and Technicians,detailed,690,12.6,0.344,0.73,NA,34.24,71210,2.5,23.86,29.11,33.52,38.93,46.36,49640,60540,69720,80960,96430,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,17-3023,Electrical and Electronic Engineering Technologists and Technicians,detailed,1340,15.2,0.664,0.8,NA,34.15,71020,2,21.85,29.01,34.31,39.42,45.91,45460,60340,71350,82000,95480,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,detailed,160,11.7,0.078,0.81,NA,38.65,80390,5.2,22.22,29.82,42.77,47.05,49.65,46210,62030,88970,97870,103280,,
